Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
0,U-235,1,0,19.55,0.05,0.583,0.011,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
1,U-235,2,0,31.6,0.05,0.046,0.017,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
2,U-235,3,0,34.7,0.1,0.037,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
3,U-235,4,0,42.02,0.1,0.069,0.007,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
4,U-235,5,0,51.21,0.05,0.034,0.007,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
5,U-235,6,0,54.1,0.1,0.0011,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
6,U-235,7,0,54.25,0.05,0.016,0.005,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
7,U-235,8,0,64.45,0.05,0.0017,0.0014,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
8,U-235,9,0,72.7,0.2,0.309,0.034,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
9,U-235,10,0,73.72,0.05,0.0103,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
10,U-235,11,0,74.94,0.04,0.073,0.013,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
11,U-235,12,0,76.198,0.004,0.0046,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
12,U-235,13,0,96.09,0.02,0.127,0.007,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
13,U-235,14,0,109.176,0.031,1.64,0.07,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
14,U-235,15,0,115.45,0.05,0.0253,0.0004,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
15,U-235,16,0,120.35,0.05,0.022,0.01,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
16,U-235,17,0,136.55,0.05,0.0256,0.0016,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
17,U-235,18,0,140.759,0.02,0.211,0.014,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
18,U-235,19,0,142.4,0.05,0.005,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
19,U-235,20,0,143.765,0.002,10.93,0.14,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
20,U-235,21,0,150.937,0.02,0.073,0.009,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
21,U-235,22,0,163.357,0.002,5.07,0.07,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
22,U-235,23,0,173.0,1.0,0.011,0.005,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
23,U-235,24,0,175.7,0.05,0.076,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
24,U-235,25,0,179.297,0.002,0.0126,0.0029,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
