Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
0,Np-237,1,0,4386.0,,0.02,,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
1,Np-237,2,0,4515.1,1.9,0.035,0.004,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
2,Np-237,3,0,4550.5,2.2,0.011,0.003,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
3,Np-237,4,0,4567.0,,0.01,0.004,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
4,Np-237,5,0,4573.0,3.0,0.048,0.023,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
5,Np-237,6,0,4578.6,1.4,0.369,0.023,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
6,Np-237,7,0,4594.9,2.0,0.085,,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
7,Np-237,8,0,4599.1,1.8,0.371,0.009,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
8,Np-237,9,0,4619.7,2.1,0.032,0.008,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
9,Np-237,10,0,4640.0,1.0,6.43,0.03,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
10,Np-237,11,0,4659.1,2.0,0.57,,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
11,Np-237,12,0,4665.0,0.9,3.478,0.024,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
12,Np-237,13,0,4680.5,1.8,0.02,0.004,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
13,Np-237,14,0,4698.2,0.8,0.535,0.01,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
14,Np-237,15,0,4708.3,2.0,1.174,,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
15,Np-237,16,0,4712.3,2.0,1.174,,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
16,Np-237,17,0,4741.3,2.0,0.019,,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
17,Np-237,18,0,4766.5,0.8,9.3,0.3,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
18,Np-237,19,0,4771.4,0.8,23.2,0.3,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
19,Np-237,20,1,4788.0,0.9,47.64,0.06,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
20,Np-237,21,0,4803.5,1.0,2.014,0.017,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
21,Np-237,22,0,4816.8,1.0,2.43,0.017,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
22,Np-237,23,0,4825.0,4.0,0.014,0.011,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
23,Np-237,24,0,4849.0,5.0,0.006,0.004,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
24,Np-237,25,0,4866.4,1.4,0.53,0.04,0,5/2+,2144000.0,7,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
