Library index,Radionuclide,Radiation number,Priority number,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
0,Np-237,1,0,8.22,0.05,0.0055,5.5e-08,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
1,Np-237,2,0,21.5,,0.356,0.013,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
2,Np-237,3,0,27.7,,0.84,0.07,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
3,Np-237,4,0,29.374,0.01,14.5,0.4,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
4,Np-237,5,0,36.32,0.02,0.005,0.001,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
5,Np-237,6,0,46.53,0.04,0.109,0.003,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
6,Np-237,7,0,57.113,0.02,0.362,0.004,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
7,Np-237,8,0,62.59,0.1,0.006,0.002,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
8,Np-237,9,0,63.9,0.1,0.0108,0.0004,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
9,Np-237,10,0,70.49,0.1,0.0108,0.0004,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
10,Np-237,11,0,74.54,0.1,0.012,0.003,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
11,Np-237,12,1,86.484,0.01,12.2,0.3,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
12,Np-237,13,0,87.99,0.03,0.148,0.01,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
13,Np-237,14,0,94.65,0.05,0.591,0.02,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
14,Np-237,15,0,106.12,0.05,0.048,0.001,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
15,Np-237,16,0,108.7,,0.071,0.003,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
16,Np-237,17,0,115.44,0.2,0.0026,0.0008,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
17,Np-237,18,0,117.705,0.02,0.17,0.004,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
18,Np-237,19,0,131.093,0.02,0.0849,0.0031,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
19,Np-237,20,0,134.276,0.02,0.072,0.003,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
