Library index,Radionuclide,Radiation number,Priority number,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
0,U-238,1,0,15.784,,7.3226196218728,0.9589568838248274,0.0,0+,4468000000.0,6,Y,1.4099634525447706e+17,A,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
1,Th-234,1,1,63.29,0.02,3.665,0.3885759127892515,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
2,Th-234,2,2,92.38,0.01,2.13,0.202820511783202,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
3,Th-234,3,3,92.8,0.02,2.1,0.2008083663595717,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
4,Th-234,4,0,112.81,0.05,0.21,0.0225219892549481,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
5,Th-234,5,0,16.228,,7.2,0.5,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
6,Pa-234m,1,3,742.813,0.005,0.1066,0.0023,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
7,Pa-234m,2,2,766.42,0.1,0.317,0.005,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
8,Pa-234m,3,1,1001.03,0.1,0.842,0.008,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
9,U-234,1,1,53.2,0.02,0.123,0.002,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
