Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
0,U-238,1,0,4038.0,5.0,0.078,0.012,0.0,0+,4468000000.0,6,Y,1.4099634525447706e+17,A,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
1,U-238,2,0,4151.0,5.0,20.9,2.7,0.0,0+,4468000000.0,6,Y,1.4099634525447706e+17,A,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
2,U-238,3,1,4198.0,3.0,79.0,2.7,0.0,0+,4468000000.0,6,Y,1.4099634525447706e+17,A,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
3,U-234,1,0,4603.5,1.5,0.2,0.01,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
4,U-234,2,0,4722.4,1.4,28.42,0.09,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
5,U-234,3,1,4774.6,1.4,71.38,0.16,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
6,Th-230,1,0,4438.4,1.6,0.03,0.015,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
7,Th-230,2,0,4479.8,1.6,0.12,0.00012,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
8,Th-230,3,0,4620.5,1.5,23.4,0.1,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
9,Th-230,4,1,4687.0,1.5,76.3,0.3,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
10,Ra-226,1,0,4191.0,2.0,0.001,0.0001,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
11,Ra-226,2,0,4340.0,1.0,0.0059,0.0015,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
12,Ra-226,3,0,4601.0,1.0,5.93,0.01,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
13,Ra-226,4,1,4784.34,0.25,94.07,0.01,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
14,Rn-222,1,0,4986.0,1.0,0.078,0.001,0.0,0+,3.8222,9,d,330238.08,A,100.0,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2024-04-27,ENSDF
15,Rn-222,2,1,5489.48,0.3,99.92,0.01,0.0,0+,3.8222,9,d,330238.08,A,100.0,,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2024-04-27,ENSDF
16,Po-218,1,0,5181.0,2.0,0.00109978,2.2e-08,0.0,0+,3.097,12,m,185.82,A,99.98,0.002,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
17,Po-218,2,1,6002.55,0.1,99.97890022,0.001999978,0.0,0+,3.097,12,m,185.82,A,99.98,0.002,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
18,Bi-214,1,0,5273.0,9.0,0.001218,6.16846820531e-05,0.0,1-,19.71,2,m,1182.6,A,0.021,0.0013,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
19,Bi-214,2,1,5452.0,3.0,0.011319,0.0005426693284128,0.0,1-,19.71,2,m,1182.6,A,0.021,0.0013,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
20,Bi-214,3,0,5516.0,3.0,0.008232,0.0003970302255496,0.0,1-,19.71,2,m,1182.6,A,0.021,0.0013,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
21,Po-214,1,0,6902.2,0.3,0.0104,0.0006,0.0,0+,163.46,4,us,0.00016346,A,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
22,Po-214,2,1,7686.82,0.07,99.9895,0.0006,0.0,0+,163.46,4,us,0.00016346,A,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
23,Po-210,1,0,4516.58,0.1,0.00104,6e-05,0.0,0+,138.376,2,d,11955686.4,A,100.0,,31-Jan-2008,F.G. KONDEV,2024-04-27,ENSDF
24,Po-210,2,1,5304.33,0.07,100.0,,0.0,0+,138.376,2,d,11955686.4,A,100.0,,31-Jan-2008,F.G. KONDEV,2024-04-27,ENSDF
