,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,89,136,Ac,1,29.91,0.06,(5/2-),0,0.0,,(3/2-),0,30.0,0.2,100.0,,[M1],,,,,,,,,,,117.0,,25-OCT-2019,BALRAJ SINGH,2024-04-27
1,89,136,Ac,2,40.1,0.04,(3/2+),0,0.0,,(3/2-),0,40.09,0.05,100.0,,E1,,,0.00171,,,,,,,,1.293,,25-OCT-2019,BALRAJ SINGH,2024-04-27
2,89,136,Ac,3,64.69,0.05,(5/2+),2,40.1,0.04,(3/2+),0,24.6,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
3,89,136,Ac,3,64.69,0.05,(5/2+),1,29.91,0.06,(5/2-),1,34.8,0.1,5.0,0.5,[E1],,,,,,,,,,,1.88,,25-OCT-2019,BALRAJ SINGH,2024-04-27
4,89,136,Ac,3,64.69,0.05,(5/2+),0,0.0,,(3/2-),2,64.7,0.05,100.0,9.0,[E1],,,,,,,,,,,0.362,,25-OCT-2019,BALRAJ SINGH,2024-04-27
5,89,136,Ac,5,105.01,0.07,(7/2+),1,29.91,0.06,(5/2-),0,75.12,0.05,100.0,9.0,[E1],,,,,,,,,,,0.243,,25-OCT-2019,BALRAJ SINGH,2024-04-27
6,89,136,Ac,6,120.81,0.04,(5/2-),2,40.1,0.04,(3/2+),0,80.6,0.1,5.0,0.9,[E1],,,,,,,,,,,0.202,,25-OCT-2019,BALRAJ SINGH,2024-04-27
7,89,136,Ac,6,120.81,0.04,(5/2-),0,0.0,,(3/2-),1,120.8,0.05,100.0,9.0,M1(+E2),0.5,0.5,,,,,,,,,8.9,1.6,25-OCT-2019,BALRAJ SINGH,2024-04-27
8,89,136,Ac,7,144.96,0.09,(9/2+),4,77.13,0.09,(7/2-),0,67.8,0.05,100.0,9.0,[E1],,,,,,,,,,,0.319,,25-OCT-2019,BALRAJ SINGH,2024-04-27
9,89,136,Ac,8,155.64,0.05,(5/2+),6,120.81,0.04,(5/2-),0,34.8,0.1,13.0,1.3,[E1],,,,,,,,,,,1.88,,25-OCT-2019,BALRAJ SINGH,2024-04-27
10,89,136,Ac,8,155.64,0.05,(5/2+),2,40.1,0.04,(3/2+),1,115.55,0.05,100.0,8.0,M1,,,,,,,,,,,11.28,,25-OCT-2019,BALRAJ SINGH,2024-04-27
11,89,136,Ac,8,155.64,0.05,(5/2+),1,29.91,0.06,(5/2-),2,125.71,0.07,19.5,1.9,[E1],,,,,,,,,,,0.281,,25-OCT-2019,BALRAJ SINGH,2024-04-27
12,89,136,Ac,8,155.64,0.05,(5/2+),0,0.0,,(3/2-),3,155.65,0.07,5.0,0.5,[E1],,,,,,,,,,,0.168,,25-OCT-2019,BALRAJ SINGH,2024-04-27
13,89,136,Ac,9,170.75,0.08,(7/2-),4,77.13,0.09,(7/2-),0,93.6,0.1,47.0,7.0,[M1+E2],,,,,,,,,,,6.2,3.0,25-OCT-2019,BALRAJ SINGH,2024-04-27
14,89,136,Ac,9,170.75,0.08,(7/2-),1,29.91,0.06,(5/2-),1,140.85,0.07,100.0,12.0,[M1+E2],,,,,,,,,,,5.6,1.2,25-OCT-2019,BALRAJ SINGH,2024-04-27
15,89,136,Ac,10,199.86,0.06,(7/2+),6,120.81,0.04,(5/2-),0,79.0,0.07,50.0,5.0,[E1],,,,,,,,,,,0.213,,25-OCT-2019,BALRAJ SINGH,2024-04-27
16,89,136,Ac,10,199.86,0.06,(7/2+),5,105.01,0.07,(7/2+),1,94.86,0.07,62.0,7.0,[M1],,,,,,,,,,,4.0,,25-OCT-2019,BALRAJ SINGH,2024-04-27
17,89,136,Ac,10,199.86,0.06,(7/2+),4,77.13,0.09,(7/2-),2,122.8,0.1,24.0,3.0,[E1],,,,,,,,,,,0.297,,25-OCT-2019,BALRAJ SINGH,2024-04-27
18,89,136,Ac,10,199.86,0.06,(7/2+),3,64.69,0.05,(5/2+),3,135.2,0.07,100.0,10.0,[M1],,,,,,,,,,,7.22,,25-OCT-2019,BALRAJ SINGH,2024-04-27
19,89,136,Ac,10,199.86,0.06,(7/2+),1,29.91,0.06,(5/2-),4,169.9,0.1,56.0,7.0,[E1],,,,,,,,,,,0.1362,,25-OCT-2019,BALRAJ SINGH,2024-04-27
20,89,136,Ac,12,235.53,0.13,(9/2-),4,77.13,0.09,(7/2-),0,158.4,0.1,100.0,,[M1],,,,,,,,,,,4.61,,25-OCT-2019,BALRAJ SINGH,2024-04-27
21,89,136,Ac,13,256.97,0.09,(9/2+),7,144.96,0.09,(9/2+),0,111.9,0.1,100.0,17.0,[M1],,,,,,,,,,,12.33,,25-OCT-2019,BALRAJ SINGH,2024-04-27
22,89,136,Ac,13,256.97,0.09,(9/2+),5,105.01,0.07,(7/2+),1,152.0,0.1,92.0,17.0,[M1],,,,,,,,,,,5.18,,25-OCT-2019,BALRAJ SINGH,2024-04-27
23,89,136,Ac,13,256.97,0.09,(9/2+),4,77.13,0.09,(7/2-),2,179.9,0.1,67.0,17.0,[E1],,,,,,,,,,,0.1187,,25-OCT-2019,BALRAJ SINGH,2024-04-27
