,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,89,136,Ac,0,,0.0,,,(3/2-),1.0,9.92,,3.0,d,857088.0,259.2,A,100.0,,14C,5.3e-10,1.3e-10,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
1,89,136,Ac,1,,29.91,0.06,,(5/2-),1.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
2,89,136,Ac,2,,40.1,0.04,,(3/2+),1.0,0.72,,3.0,ns,7.2e-10,3e-11,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
3,89,136,Ac,3,,64.69,0.05,,(5/2+),1.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
4,89,136,Ac,4,,77.13,0.09,,(7/2-),1.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
5,89,136,Ac,5,,105.01,0.07,,(7/2+),1.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
6,89,136,Ac,6,,120.81,0.04,,(5/2-),2.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
7,89,136,Ac,7,,144.96,0.09,,(9/2+),1.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
8,89,136,Ac,8,,155.64,0.05,,(5/2+),2.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
9,89,136,Ac,9,,170.75,0.08,,(7/2-),2.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
10,89,136,Ac,10,,199.86,0.06,,(7/2+),2.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
11,89,136,Ac,11,,221.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
12,89,136,Ac,12,,235.53,0.13,,(9/2-),1.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
13,89,136,Ac,13,,256.97,0.09,,(9/2+),2.0,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
14,89,136,Ac,14,,318.0,,,,,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
15,89,136,Ac,15,,327.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
16,89,136,Ac,16,,421.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,25-OCT-2019,BALRAJ SINGH,2024-04-27
