,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,4363.0,7.0,4.14e-05,1.200713937e-07,,601.0,8.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
1,4423.0,5.0,8.28e-05,2.4e-07,,540.74,12.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
2,4445.0,4.0,0.00069,2e-06,,515.2,2.1,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
3,4459.0,7.0,6.9e-05,2.001189896e-07,,503.0,26.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
4,4512.0,5.0,4.14e-05,1.200713937e-07,,449.0,108.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
5,4581.0,7.0,4.14e-05,1.200713937e-07,,379.0,340.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
6,4589.0,4.0,0.000138,4e-07,,371.0,116.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
7,4594.0,4.0,0.000276,8e-07,,365.47,65.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
8,4715.0,4.0,0.00552,0.0027600463764219,,242.63,23.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
9,4738.0,4.0,0.001242,3.6e-06,,219.61,142.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
10,4768.0,3.0,0.02484,0.0069003756419487,,189.1,11.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
11,4785.0,4.0,0.001104,3.2e-06,,172.08,329.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
12,4796.0,3.0,0.0138,0.0069001159410549,,160.48,31.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
13,4822.0,4.0,0.000966,2.8e-06,,134.51,663.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
14,4855.0,2.0,0.0828,0.0138020867987417,,99.63,13.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
15,4872.7,0.2,0.08694,0.0069046002056599,,82.13,16.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
16,4898.8,3.0,0.001518,4.4e-06,,54.97,1360.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
17,4940.7,0.8,0.54648,0.0166355840294231,,12.89,7.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
18,4953.26,0.14,0.65826,0.0139312764670004,,0.0,7.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-04-27
