,mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me.1,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,2.73,0.76,0.0042,0.001,,2123.1,11,3,4.9,0.5,A,7.9,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
1,25.15,0.81,0.0062,0.001,,2037.0,97,3,7.58,0.09,,71.5,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
2,26.94,0.82,0.019,0.003,,2030.39,104,3,7.18,0.08,A,76.3,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
3,29.04,0.82,0.054,0.006,,2022.64,111,3,6.82,0.06,A,81.9,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
4,31.51,0.83,0.0029,0.0009,,2013.6,120,3,8.19,0.14,,88.7,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
5,32.44,0.83,0.28,0.03,,2010.2,124,3,6.25,0.06,A,91.0,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
6,38.72,0.84,0.038,0.003,,1987.46,147,3,7.34,0.05,A,107.5,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
7,46.79,0.86,0.0033,0.0007,,1958.72,175,3,8.64,0.1,A,128.3,2.1,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
8,50.75,0.86,0.251,0.014,,1944.83,189,3,6.86,0.04,A,138.0,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
9,52.94,0.87,0.046,0.005,,1937.18,197,3,7.66,0.06,,143.7,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
10,55.39,0.87,0.056,0.007,,1928.66,205,3,7.63,0.06,A,149.6,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
11,61.79,0.88,0.034,0.005,,1906.63,227,3,7.98,0.07,A,165.5,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
12,63.71,0.91,0.077,0.006,,1899.97,234,3,7.67,0.04,A,170.0,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
13,65.77,0.89,0.117,0.007,,1893.02,241,3,7.53,0.04,A,174.8,2.6,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
14,94.51,0.93,0.045,0.006,,1797.66,336,3,8.4,0.06,A,241.7,2.4,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
15,95.13,0.93,0.01,,,1795.65,338,3,9.1,,A,243.1,2.4,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
16,106.17,0.95,0.119,0.01,,1760.17,374,3,8.13,0.04,,267.5,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
17,106.77,0.95,0.062,0.013,,1758.24,376,3,8.42,0.1,A,268.9,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
18,111.29,0.95,0.389,0.018,,1743.87,390,3,7.673,0.023,A,278.5,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
19,113.94,0.96,0.133,0.008,,1735.508,398,3,8.17,0.03,A,284.5,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
20,117.5,0.96,1.76,0.05,,1724.288,410,3,7.087,0.017,A,292.0,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
21,129.0,0.97,2.43,0.15,,1688.398,446,3,7.07,0.03,,316.3,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
22,130.51,0.97,0.164,0.017,,1683.71,450,3,8.25,0.05,1NU,319.6,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
23,130.82,0.97,1.12,0.05,,1682.754,451,3,7.42,0.022,,319.8,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
24,142.79,0.99,4.19,0.19,,1646.005,488,3,6.958,0.022,A,345.1,2.0,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
25,143.73,0.99,3.0,0.8,,1643.119,491,3,7.11,0.12,1NU,347.1,2.1,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
26,145.32,0.99,1.15,0.05,,1638.283,496,3,7.542,0.021,A,350.1,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
27,152.1,1.0,0.095,0.009,,1617.78,516,3,8.68,0.05,A,363.8,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
28,181.0,1.1,7.6,0.4,,1531.478,603,3,7.003,0.024,A,420.9,3.0,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
29,208.9,1.1,0.6,0.07,,1450.35,684,3,8.29,0.06,1NU,474.9,1.9,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
30,215.3,1.1,1.2,0.4,,1431.981,702,3,8.03,0.15,A,487.0,2.6,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
31,220.9,1.1,0.06,0.008,,1416.09,718,3,9.36,0.06,1NU,497.3,2.7,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
32,246.4,1.1,0.217,0.015,,1344.082,790,3,8.95,0.03,1NU,543.7,2.6,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
33,260.3,1.0,0.058,0.013,,1297.44,837,3,9.97,0.1,1U,581.9,2.0,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
34,288.8,1.1,0.67,0.04,,1226.566,907,3,8.66,0.03,1NU,619.1,2.7,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
35,307.6,1.1,0.17,0.03,,1175.45,959,3,9.34,0.08,A,650.7,2.6,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
36,307.9,1.1,0.005,,,1174.5,959,3,10.9,,2NU,664.8,2.3,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
37,310.2,1.1,3.11,0.07,,1168.377,966,3,8.091,0.011,1NU,655.7,2.1,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
38,315.7,1.2,5.8,0.9,2.9e-10,1153.465,981,3,7.84,0.07,A,665.3,2.2,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
39,327.0,1.2,5.9,0.14,,1122.949,1011,3,7.883,0.012,1NU,682.6,2.6,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
40,338.9,1.2,0.26,0.05,,1091.02,1043,3,9.29,0.09,A,703.8,2.4,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
41,350.6,1.2,0.07,0.011,,1059.94,1074,3,9.9,0.07,1NU,722.7,2.6,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
42,364.7,1.2,3.11,0.15,,1022.531,1111,3,8.306,0.022,A,746.9,2.6,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
43,367.0,1.2,0.33,0.05,,1016.386,1118,3,9.29,0.07,1NU,750.7,2.5,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
44,381.0,1.2,0.14,0.04,,979.507,1154,3,9.71,0.13,A,773.6,2.1,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
45,385.0,1.2,29.9,1.0,,968.972,1165,3,7.395,0.016,A,779.9,2.8,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
46,385.3,1.2,,,,968.335,1166,3,,,1NU,,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
47,394.4,1.2,0.041,0.023,,944.2,1190,3,10.29,0.25,1U,816.7,2.7,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
48,421.2,1.2,0.21,0.08,,874.48,1260,3,9.67,0.17,A,838.7,2.4,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
49,536.9,1.2,0.01,0.05,,519.195,1615,3,12.2,2.2,1U,1090.1,2.1,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
50,609.3,1.2,0.59,0.17,,328.006,1806,3,10.75,0.13,1U,1210.4,1.9,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
