,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,18.4,,0.014,0.004,,1450.35,,1431.981,[E1],,,6.47,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
1,42.46,0.05,0.009,0.003,,1688.398,,1646.005,[M1],,,46.3,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
2,56.96,0.05,0.019,0.004,,,,,,,,,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
3,57.766,0.005,0.47,0.03,,57.763,,0.0,E2,,,153.1,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
4,77.34,0.03,0.026,0.005,,1168.377,,1091.02,[E1],,,0.232,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
5,99.509,0.006,1.26,0.07,,1531.478,,1431.981,M1,,,3.84,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
6,100.41,0.03,0.093,0.013,,1122.949,,1022.531,(E1+M2),0.23,AP,3.1,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
7,114.56,0.07,0.0098,0.0021,,1646.005,,1531.478,[M1 E2],,,9.0,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
8,129.065,0.001,2.42,0.09,,186.827,,57.763,E2,,,3.74,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
9,135.54,0.05,0.018,0.004,,1226.566,,1091.02,E1,,,0.238,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
10,137.91,0.05,0.024,0.005,,,,,M1,,,7.44,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
11,141.02,0.03,0.05,0.008,,519.195,,378.178,E1,,,0.217,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
12,145.849,0.01,0.158,0.008,,1168.377,,1022.531,E1,,,0.2,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
13,153.977,0.01,0.722,0.021,,1122.949,,968.972,E1,,,0.1757,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
14,168.65,0.1,0.01,0.003,,1344.082,,1175.45,[E1],,,0.1414,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
15,168.65,0.1,0.003,0.0007,,1928.66,,1760.17,[M1 E2],,,2.7,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
16,173.964,0.013,0.035,0.005,2.9e-10,1153.465,,979.507,M1+E2,1.2,9,2.2,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
17,184.54,0.02,0.07,0.008,2.9e-10,1153.465,,968.972,E0+M1,,,63.0,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
18,191.353,0.01,0.123,0.008,,378.178,,186.827,E2,,,0.776,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
19,199.407,0.01,0.315,0.005,,1168.377,,968.972,E1,,,0.095,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
20,204.026,0.01,0.112,0.015,,1226.566,,1022.531,E1,,,0.09,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
21,209.253,0.006,3.89,0.07,,396.083,,186.827,E1,,,0.0848,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
22,214.85,0.1,0.029,0.004,,2010.2,,1795.65,[E2],,,0.516,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
23,214.85,0.05,0.76,0.11,2.9e-10,1153.465,,938.61,,,,,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
24,223.85,0.1,0.054,0.005,,1450.35,,1226.566,M1+E2,-0.18,5,1.85,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
25,231.42,0.1,0.025,0.004,,1175.45,,944.2,[D E2],,,1.1,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
26,257.52,0.1,0.03,0.003,,1431.981,,1174.5,(M1),,,1.285,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
27,263.58,0.1,0.04,0.004,,1431.981,,1168.377,E1,,,0.0498,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
28,270.245,0.002,3.46,0.06,,328.006,,57.763,E1,,,0.047,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
29,278.95,0.05,0.031,0.005,,1431.981,2.9e-10,1153.465,[E2],,,0.211,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
30,278.95,0.05,0.16,0.021,2.9e-10,1153.465,,874.48,(M1 E2),,,0.6,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
31,282.0,0.03,0.072,0.019,,1450.35,,1168.377,M1+E2,-0.51,12,0.83,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
32,321.646,0.008,0.226,0.011,2.9e-10,1153.465,,831.822,[E2],,,0.1369,,89,139,Ac,,0,,3+,6.15,,2,h,22140,72,B-,100,,2123.8,26,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
