,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,10.872,,0.007988457015,0.0006276164957058,AU,L,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
1,35.066,,0.0001589150390625,2.30681609919e-05,AU,KLX,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
2,45.201,,0.00046494,6.7121939662e-05,AU,K,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
3,60.712,,0.0002837768554687,4.09931776349e-05,AU,KLL,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
4,86.461,,2.22481054687e-05,3.2739411848e-06,AU,KXY,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
5,167.356,,0.012915,0.001190432274428,CE,K,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
6,241.494,,0.0026691,0.0001079408171175,CE,L,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
7,253.883,,0.00064001,2.12036459129e-05,CE,M,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
8,256.944,,0.000163303,5.4575314932e-06,CE,N,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
9,257.723,,3.2718e-05,1.1739356881e-06,CE,O,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2024-04-27
