,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,10.277,,9.80248942626284,,AU,L,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
1,33.238,,0.1711320818625871,,AU,KLX,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
2,42.719,,0.5037275918652,,AU,K,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
3,57.524,,0.308902674842215,,AU,KLL,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
4,81.777,,0.0236928351603978,,AU,KXY,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
5,180.064,,4.3707,,CE,K,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
6,219.064,,8.6394,,CE,K,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
7,244.064,,0.165087,,CE,K,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
8,250.25,,2.8713,,CE,L,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
9,258.764,,0.157794,,CE,K,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
10,261.89,,0.73695,,CE,M,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
11,264.748,,0.18462,,CE,N,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
12,264.748,,0.21879,,CE,N+,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
13,265.461,,0.032691,,CE,O,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
14,283.364,,0.121992,,CE,K,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
15,289.25,,1.4586,,CE,L,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
16,298.464,,0.00092565,,CE,K,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
17,300.89,,0.3402465,,CE,M,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
18,303.748,,0.104346,,CE,N+,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
19,303.748,,0.085833,,CE,N,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
20,304.461,,0.01668975,,CE,O,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
21,314.25,,0.0277797,,CE,L,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
22,325.89,,0.00647751,,CE,M,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
23,328.748,,0.00163761,,CE,N,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
24,328.748,,0.00198237,,CE,N+,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
25,328.95,,0.0265608,,CE,L,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
26,329.461,,0.000317577,,CE,O,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
