,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,5302.0,2.0,3.9534e-05,3.5946059589e-06,,803.0,20000,2000,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
1,5345.0,,0.0003594,3.59450079983e-05,,759.0,3800,380,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
2,5481.0,,0.0046722,7.8e-06,,621.0,1500,150,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
3,5607.0,,0.406122,0.000678,,492.84,70,7,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
4,5626.0,,0.0564258,9.42e-05,,473.4,630,63,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
5,5750.0,,0.469,0.2011218536111876,,621.0,100,10,83,129,Bi,,239,30.0,(8- 9-),25.0,,2,m,1500,12.0,A,67.0,1.0,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
6,5768.0,,0.61098,0.00102,1e-13,328.04,280,28,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
7,6010.0,,5.025,1.0077946219344496,,328.04,180,18,83,129,Bi,,239,30.0,(8- 9-),25.0,,2,m,1500,12.0,A,67.0,1.0,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
8,6050.78,0.03,25.125654,0.0683063321808454,6.5e-12,39.857,130,13,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
9,6089.88,0.03,9.746928,0.0528817344647469,183.18,0.0,480,48,83,129,Bi,,0,,1(-),60.55,,6,m,3633,3.6,A,35.94,0.06,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
10,6300.0,,25.996,1.077297080660669,,39.857,540,54,83,129,Bi,,239,30.0,(8- 9-),25.0,,2,m,1500,12.0,A,67.0,1.0,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
11,6340.0,,34.974,1.1324791388807125,,0.0,570,57,83,129,Bi,,239,30.0,(8- 9-),25.0,,2,m,1500,12.0,A,67.0,1.0,6207.262,28,81,127,Tl,1-Jun-2007,M. J. MARTIN,2024-04-27
