,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,83,130,Bi,1,257.86,0.04,7/2-,0,0.0,,9/2-,0,257.89,0.06,100.0,,M1+E2,0.59,0.13,,,,,,,,,0.57,0.05,1-Jan-2022,M. S. Basunia,2024-04-27
1,83,130,Bi,2,593.13,0.03,(5/2 7/2 9/2)-,1,257.86,0.04,7/2-,0,335.26,0.05,54.0,3.0,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
2,83,130,Bi,2,593.13,0.03,(5/2 7/2 9/2)-,0,0.0,,9/2-,1,593.13,0.03,100.0,4.0,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
3,83,130,Bi,3,758.9,0.1,(5/2- 13/2-),0,0.0,,9/2-,0,758.9,0.1,100.0,,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
4,83,130,Bi,4,874.3,0.5,,0,0.0,,9/2-,0,874.3,1.0,100.0,,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
5,83,130,Bi,5,977.8,0.14,,4,874.3,0.5,,0,103.5,0.5,,,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
6,83,130,Bi,5,977.8,0.14,,1,257.86,0.04,7/2-,1,720.3,0.1,56.0,7.0,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
7,83,130,Bi,5,977.8,0.14,,0,0.0,,9/2-,2,977.5,0.1,100.0,13.0,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
8,83,130,Bi,6,982.89,0.1,,2,593.13,0.03,(5/2 7/2 9/2)-,0,389.8,0.5,,,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
9,83,130,Bi,6,982.89,0.1,,0,0.0,,9/2-,1,982.9,0.1,100.0,13.0,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
10,83,130,Bi,8,1142.42,0.09,,0,0.0,,9/2-,0,1142.4,0.1,100.0,,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
11,83,130,Bi,9,1149.34,0.1,,1,257.86,0.04,7/2-,0,893.1,1.0,99.0,14.0,,,,,,,,,,,,,,1-Jan-2022,M. S. Basunia,2024-04-27
