,mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me.1,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,22.0,3.0,0.0016,0.0003,,3183.6,85,11,6.57,0.2,,63,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
1,24.8,3.0,0.00014,9e-05,,3173.3,96,11,7.8,0.4,,71,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
2,28.3,3.1,0.00086,0.00017,,3160.4,109,11,7.16,0.17,,80,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
3,31.4,3.1,8.63e-05,4e-07,,3149.2,120,11,8.29,0.13,,88,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
4,33.2,3.1,0.0021,0.0004,,3142.6,126,11,6.97,0.15,,93,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
5,47.0,3.2,0.0088,0.0017,,3093.48,176,11,6.79,0.13,,129,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
6,50.3,3.2,0.0082,0.002,,3081.84,187,11,6.91,0.14,,137,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
7,58.4,3.3,0.037,0.005,,3053.88,215,11,6.44,0.1,,156,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
8,70.2,3.3,0.04,0.006,,3014.11,255,11,6.64,0.09,,185,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
9,73.4,3.4,0.007,0.003,,3003.4,266,11,7.46,0.2,,193,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
10,74.4,3.4,0.0102,0.001,,3000.0,269,11,7.31,0.08,,195,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
11,78.6,3.4,0.0091,0.0009,,2986.22,283,11,7.43,0.07,,204,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
12,80.8,3.4,0.0164,0.0007,,2978.93,290,11,7.21,0.06,,209,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
13,85.7,3.4,0.00036,0.00014,,2962.8,306,11,8.94,0.18,,221,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
14,92.5,3.5,0.049,0.005,,2940.67,328,11,6.91,0.07,,236,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
15,94.4,3.5,0.00214,0.00021,,2934.54,334,11,8.29,0.07,,240,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
16,96.3,3.5,0.00109,9e-05,,2928.55,340,11,8.61,0.06,,244,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
17,98.4,3.5,0.0227,0.0013,,2921.89,347,11,7.32,0.06,,249,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
18,99.1,3.5,0.0014,0.0009,,2919.5,349,11,8.5,0.3,,251,8,83,131,Bi,,0,,1-,19.71,,2,m,1182.6,1.2,B-,99.979,0.0013,3269,11,84,130,Po,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
