,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,5500.0,40.0,0.0003299835,8.9995500242e-05,,891.9,61.0,17.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
1,5530.0,25.0,0.000899955,0.00019999000081,,809.3,60.0,14.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
2,5688.0,3.0,0.0019999,0.0009999500008,,663.3,146.0,73.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
3,5696.0,4.0,0.00099995,1.019754873e-07,,652.0,332.0,33.2,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
4,5775.0,3.0,0.06499675,0.0049997501690084,,576.9,11.8,1.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
5,5782.0,4.0,0.00499975,0.0019999000025001,,568.7,168.0,68.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
6,5812.5,2.5,0.0039998,0.0019999000016,,537.8,290.0,150.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
7,5924.5,2.5,0.039998,0.0099995000320016,,424.13,100.0,26.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
8,5938.0,2.0,0.1699915,0.0199990002890144,,410.4,27.0,4.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
9,5965.0,2.5,0.099995,0.019999000100005,,381.42,63.0,13.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
10,5979.0,2.0,0.479976,0.0299985015360767,,367.99,15.1,1.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
11,6036.0,3.0,0.00299985,0.0019999000009,,310.1,4400.0,3000.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
12,6075.0,2.0,0.139993,0.0199990001960097,,271.75,140.0,20.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
13,6126.3,1.5,15.099245,0.1999902280212711,2.7e-10,217.97,2.24,0.04,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
14,6241.8,2.0,1.359932,0.0599970061656413,5e-10,100.13,80.0,5.0,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
15,6341.0,1.3,83.295835,0.6999669826363241,0.0326,0.0,3.43,0.04,87,134,Fr,,0,,5/2-,4.9,,2,m,294,12,A,100,,6457.7,14,85,132,At,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2024-04-27
