,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,87,134,Fr,1,26.0,0.04,(1/2)-,0,0.0,,5/2-,0,26.0,0.1,100.0,33.0,(E2),,,,,,,,,,,5940.0,150.0,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
1,87,134,Fr,2,36.64,0.04,(3/2)-,1,26.0,0.04,(1/2)-,0,10.642,0.002,,,,,,,,,,,,,,,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
2,87,134,Fr,2,36.64,0.04,(3/2)-,0,0.0,,5/2-,1,36.7,0.1,100.0,9.0,E2(+M1),,,,,44.0,,,,,,600.0,600.0,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
3,87,134,Fr,3,38.54,0.06,(9/2)-,0,0.0,,5/2-,0,38.5,0.1,100.0,9.0,E2,,,,,,,,,,,863.0,17.0,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
4,87,134,Fr,4,99.62,0.05,(3/2)-,2,36.64,0.04,(3/2)-,0,62.9,0.1,61.4,2.9,M1,,,,,,,0.056,,,,10.87,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
5,87,134,Fr,4,99.62,0.05,(3/2)-,1,26.0,0.04,(1/2)-,1,73.5,0.1,3.6,1.0,E2+M1,,,,,48.0,,,,,,22.0,16.0,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
6,87,134,Fr,4,99.62,0.05,(3/2)-,0,0.0,,5/2-,2,99.6,0.5,100.0,9.0,M1+E2,0.18,0.05,,,23.0,,0.022,,,,3.04,0.14,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
7,87,134,Fr,5,99.85,0.07,(3/2)+,1,26.0,0.04,(1/2)-,0,73.9,0.1,26.4,1.7,E1,,,0.00053,,,,,,,,0.24,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
8,87,134,Fr,5,99.85,0.07,(3/2)+,0,0.0,,5/2-,1,99.8,0.1,100.0,11.0,E1(+M2),,,0.00081,,,,,,,,0.1076,,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
9,87,134,Fr,6,100.89,0.05,(5/2)-,2,36.64,0.04,(3/2)-,0,64.3,0.1,47.0,5.0,M1+E2,0.45,0.13,,,,,,,,,20.0,6.0,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
