,mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me.1,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,31.5,0.3,0.0013,0.0004,,1028.94,120.2,0.9,7.26,0.14,,88.5,0.7,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
1,32.7,0.3,0.0005,0.0001,,1024.6,124.5,0.9,7.72,0.09,,91.5,0.7,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
2,34.1,0.3,0.0005,0.0002,,1019.3,129.8,1.0,7.78,0.18,,95.4,0.8,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
3,51.4,0.3,0.02,0.005,,957.73,191.4,0.9,6.7,0.11,,139.9,0.9,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
4,55.6,0.3,0.009,0.002,,943.27,205.8,0.9,7.15,0.1,,150.1,0.9,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
5,56.3,0.3,0.006,0.001,,940.79,208.3,0.9,7.34,0.08,,151.5,0.9,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
6,60.5,0.3,0.11,0.03,,926.56,222.5,0.9,6.17,0.12,,161.9,0.6,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
7,66.5,0.3,0.0012,0.0004,,905.9,243.2,1.0,8.25,0.15,,176.7,0.7,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
8,78.0,0.3,0.026,0.007,,867.33,281.8,0.9,7.12,0.12,,203.3,0.9,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
9,84.4,0.3,0.1,0.02,,846.41,302.7,0.9,6.63,0.09,A,218.4,0.8,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
10,85.6,0.3,0.036,0.008,,842.25,306.8,0.9,7.09,0.1,,221.3,0.7,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
11,90.6,0.3,0.6,0.1,,825.94,323.2,0.9,5.94,0.08,1NU,232.1,0.8,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
12,91.5,0.3,0.016,0.004,,823.22,325.9,0.9,7.53,0.11,,234.5,0.7,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
13,97.0,0.3,0.005,0.001,,805.38,343.7,0.9,8.11,0.09,,246.6,0.8,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
14,97.5,0.3,0.14,0.03,,803.77,345.3,0.9,6.67,0.1,,247.4,0.9,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
15,102.7,0.3,0.023,0.005,,787.14,362.0,0.9,7.52,0.1,A,259.4,1.2,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
16,104.1,0.3,0.0012,0.0003,,782.54,366.6,0.9,8.82,0.11,,262.5,0.8,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
17,165.6,0.3,0.015,0.004,,593.58,555.5,0.9,8.31,0.12,,389.4,0.8,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
18,241.2,0.4,0.005,0.001,,376.1,773.0,0.9,9.28,0.09,2NU,537.0,1.4,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
19,243.7,0.4,1.7,0.1,,369.351,779.7,0.9,6.76,0.03,A,536.2,1.1,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
20,253.3,0.4,0.05,0.01,,342.51,806.6,0.9,8.34,0.09,1NU,552.7,1.1,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
21,256.3,0.4,0.05,0.01,,334.3,814.8,0.9,8.36,0.09,1NU,558.0,1.1,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
22,257.9,0.4,0.05,0.01,,329.83,819.3,0.9,8.36,0.09,A,561.2,1.2,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
23,273.8,0.4,0.05,0.02,,286.07,863.0,0.9,8.44,0.18,1NU,588.8,1.2,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
24,292.5,0.4,10.1,0.2,,234.779,914.3,0.9,6.223,0.009,1NU,622.4,1.2,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
25,333.8,0.4,0.26,0.07,,123.737,1025.4,0.9,7.99,0.12,2NU,705.5,1.2,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
26,350.4,0.4,15.0,2.0,,79.652,1069.4,0.9,6.29,0.06,A,719.2,0.9,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
