,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,15.0,3.0,,,,,,,,,,,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
1,20.27,0.05,1.59,0.3516020477756066,,50.093,,29.859,[E1],,,7.76,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
2,23.0,5.0,,,,174.0,,150.9,,,,,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,A,0.006,,5561.4,28,85,134,At,19-May-2021,Balraj Singh et al. and ,2024-04-27
3,24.14,0.03,0.285,0.0607453701939497,,,,,,,,,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
4,27.27,0.03,0.069,0.0182877007849538,,,,,,,,,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
5,29.6,0.03,0.024,0.0048059962546801,,79.652,,50.093,,,,,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
6,29.78,0.04,0.054,0.0161443488564884,,29.859,,0.0,M1+E2,0.41,10,540.0,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
7,31.69,0.05,0.0015,0.0003,,61.447,,29.859,M1+E2,0.28,6,270.0,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
8,43.5,0.2,0.0024,0.00048,,329.83,,286.07,E1,,,1.03,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
9,44.0,0.1,0.0015,0.0003,,123.737,,79.652,M1+E2,0.52,4,134.0,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
10,49.8,0.05,2.79,0.6074240693288339,,79.652,,29.859,E1,,,0.719,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
11,50.094,0.015,33.9,7.821662227429666,,50.093,,0.0,E1,,,0.709,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
12,58.9,0.2,0.0008,0.0005,,58.9,56.0,0.0,M1,,,10.87,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,A,0.006,,5561.4,28,85,134,At,19-May-2021,Balraj Singh et al. and ,2024-04-27
13,61.43,0.05,0.0039,0.00078,,61.447,,0.0,E2,,,98.0,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
14,62.31,0.06,0.018,0.0069971422738143,,123.737,,61.447,E1,,,0.395,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
15,73.5,0.1,0.0015,0.0009486832980505,,123.737,,50.093,E2,,,41.7,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
16,79.651,0.013,8.7,2.1136697944570244,,79.652,,0.0,E1,,,0.205,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
17,89.08,0.1,0.06,0.0123693168768529,,369.351,,280.19,,,,,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
18,93.88,0.05,0.066,0.0159762323468332,,123.737,,29.859,E1,,,0.132,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
19,111.05,0.03,0.0054,0.0016144348856488,,234.779,,123.737,,,,,,87,136,Fr,,0,,3/2(-),22.0,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
