,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,87,136,Fr,0,,0.0,,,3/2(-),1.0,22.0,,7.0,m,1320.0,4.2,B-,99.994,,A,0.006,,,,,,1.16,0.01,1.18,0.02,1-May-2001,E. BROWNE,2024-04-27
1,87,136,Fr,1,,12.882,0.022,,(5/2-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
2,87,136,Fr,2,,54.98,0.04,,1/2(-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
3,87,136,Fr,3,,82.129,0.021,,(7/2-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
4,87,136,Fr,4,,99.53,0.03,,(3/2-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
5,87,136,Fr,5,,100.999,0.024,,(5/2-),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
6,87,136,Fr,6,,134.48,0.04,,(3/2+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
7,87,136,Fr,7,,160.43,0.03,,(3/2+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
8,87,136,Fr,8,,171.963,0.025,,(5/2+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
9,87,136,Fr,9,,187.07,0.03,,(5/2-),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
10,87,136,Fr,10,,188.92,0.03,,(7/2-),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
11,87,136,Fr,11,,219.53,0.03,,(7/2+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
12,87,136,Fr,12,,222.98,0.04,,(7/2+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
13,87,136,Fr,13,,242.45,0.04,,(5/2),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
14,87,136,Fr,14,,243.57,0.04,,(5/2),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
15,87,136,Fr,15,,244.674,0.025,,(7/2-),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
16,87,136,Fr,16,,298.7,0.3,,(9/2-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
17,87,136,Fr,17,,365.65,0.05,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
18,87,136,Fr,18,,371.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
19,87,136,Fr,19,,379.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
