,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,10.277,,5.0889878988288,0.8182321073260103,AU,L,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
1,33.238,,0.1030125098205678,0.0223963115396549,AU,KLX,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
2,42.719,,0.3032175086,0.0657600297938698,AU,K,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
3,57.524,,0.1859431585208806,0.0403372854639685,AU,KLL,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
4,81.777,,0.0142618402585515,0.0031184139291654,AU,KXY,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
5,180.296,,0.00029925,5.9997187434e-05,CE,K,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
6,219.36,,7.982,1.5404950503003896,CE,K,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
7,250.482,,0.00019635,3.93696951982e-05,CE,L,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
8,258.984,,0.12155,0.0244093445221292,CE,K,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
9,262.122,,5.04e-05,1.01067613506e-05,CE,M,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
