,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,265.832,0.005,0.0035,0.0007,2.29e-09,265.832,252.12,0.0,E2,,,0.1602,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
1,304.896,0.006,26.0,5.0,4.2e-12,304.896,252.12,0.0,M1,,,0.375,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
2,344.52,0.17,0.55,0.11,,649.42,4.2e-12,304.896,M1,,,0.269,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
3,383.59,0.06,0.0035,0.0005,,649.42,2.29e-09,265.832,[M1],,,0.202,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
4,649.42,0.05,2.2,0.3,,649.42,252.12,0.0,M1,,,0.0501,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
5,12.148,,2.9504874547712,0.4844620186575134,,,,,,,,,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
6,70.832,,2.299062733096421,0.432531605528366,,,,,,,,,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
7,72.874,,3.880929664241089,0.7299506635549972,,,,,,,,,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
8,82.629,,1.3198595944969085,0.2490217691117854,,,,,,,,,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
9,83.631,,1.7118578940624902,0.322913807586408,,,,,,,,,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
10,84.866,,0.3919982995655818,0.0742533047066523,,,,,,,,,,80,126,Hg,,0,,0+,8.32,,7,m,499.2,4.2,B-,100,,1308,20,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
