,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,80,126,Hg,0,,0.0,,,0+,1.0,8.32,,7.0,m,499.2,4.2,B-,100.0,,,,,,,,,5.45,0.05,0.74,0.15,31-Jan-2008,F.G. KONDEV,2024-04-27
1,80,126,Hg,1,,1068.2,0.2,,2+,1.0,21.0,LT,,ns,2.1e-08,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
2,80,126,Hg,2,,2102.4,0.3,,5-,1.0,2.15,,21.0,us,2.15e-06,2.1e-07,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
3,80,126,Hg,3,,2466.4,1.1,,(7-),1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
4,80,126,Hg,4,,3623.4,1.4,,(8+),1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
5,80,126,Hg,5,,3625.0,,,0+,2.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
6,80,126,Hg,6,,3723.4,1.4,,(10+),1.0,92.0,,8.0,ns,9.2e-08,8e-09,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
7,80,126,Hg,7,,4606.2,1.6,,(10+),2.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
8,80,126,Hg,8,,4987.5,1.6,,(11+),1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
9,80,126,Hg,9,,5643.8,1.6,,(12+),1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
10,80,126,Hg,10,,6067.6,1.6,,(13-),1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
11,80,126,Hg,11,,6276.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
