,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,4386.0,,0.02,,,,46265.0,,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
1,4515.1,1.9,0.035,0.004,,365.96,59.0,7.0,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
2,4550.5,2.2,0.011,0.003,,,84000.0,24000.0,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
3,4567.0,,0.01,0.004,,306.09,,,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
4,4573.0,3.0,0.048,0.023,,303.51,127.0,61.0,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
5,4578.6,1.4,0.369,0.023,,300.483,17.3,1.1,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
6,4594.9,2.0,0.085,,,283.0,101.0,,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
7,4599.1,1.8,0.371,0.009,,279.719,24.5,0.7,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
8,4619.7,2.1,0.032,0.008,,257.129,420.0,110.0,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
9,4640.0,1.0,6.43,0.03,,237.904,2.86,0.03,93,144,Np,,0,,5/2+,2144000.0,,7,Y,67658049289525.25,220898481822.144,A,100,,4957.3,7,91,142,Pa,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
