,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,93,144,Np,0,,0.0,,,5/2+,1.0,2144000.0,,7.0,Y,67658049289525.25,220898481822.144,A,100.0,,SF,2e-10,,,,,,3.16,0.1,3.886,0.006,15-Mar-2006,M.S. Basunia,2024-04-27
1,93,144,Np,1,,33.19629,0.00022,,7/2+,1.0,54.0,,24.0,ps,5.4e-11,2.4e-11,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
2,93,144,Np,2,,59.54092,0.0001,,5/2-,1.0,67.2,,7.0,ns,6.72e-08,7e-10,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
3,93,144,Np,3,,75.899,0.005,,9/2+,1.0,28.0,AP,,ps,2.8e-11,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
4,93,144,Np,4,,102.959,0.003,,7/2-,1.0,80.0,,40.0,ps,8e-11,4e-11,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
5,93,144,Np,5,,129.99,0.03,,11/2+,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
6,93,144,Np,6,,158.497,0.011,,9/2-,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
7,93,144,Np,7,,191.53,0.06,,13/2+,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
8,93,144,Np,8,,225.957,0.016,,11/2-,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
9,93,144,Np,9,,267.556,0.012,,3/2-,1.0,5.2,,2.0,ns,5.2e-09,2e-10,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
10,93,144,Np,10,,268.8,0.16,,15/2+,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
11,93,144,Np,11,,281.356,0.018,,1/2-,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
12,93,144,Np,12,,305.05,0.03,,13/2-,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
13,93,144,Np,13,,316.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
14,93,144,Np,14,,324.42,0.023,,(7/2-),1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
15,93,144,Np,15,,332.376,0.016,,1/2+,1.0,1.0,LE,,ns,1e-09,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
16,93,144,Np,16,,347.62,0.18,,17/2+,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
17,93,144,Np,17,,359.7,0.1,,(5/2-),1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
18,93,144,Np,18,,368.602,0.02,,5/2+,2.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
19,93,144,Np,19,,370.928,0.023,,3/2+,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
20,93,144,Np,20,,395.53,0.04,,15/2-,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
21,93,144,Np,21,,418.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
22,93,144,Np,22,,434.12,0.05,,(11/2-),1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
23,93,144,Np,23,,444.78,0.1,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
24,93,144,Np,24,,452.52,0.2,,19/2+,1.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
25,93,144,Np,25,,452.545,0.022,,9/2+,2.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
26,93,144,Np,26,,459.693,0.024,,7/2+,2.0,,,,,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
