,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,91,140,Pa,1,9.183,0.018,1/2-,0,0.0,,3/2-,0,9.183,,,,,,,,,333.0,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
1,91,140,Pa,2,58.5696,0.0024,7/2-,0,0.0,,3/2-,0,58.57,0.0024,100.0,,E2,,,,,227.0,,,,,,155.5,2.2,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
2,91,140,Pa,3,77.692,0.017,5/2-,2,58.5696,0.0024,7/2-,0,19.1,,,,,,,,,,,,,,,,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
3,91,140,Pa,3,77.692,0.017,5/2-,1,9.183,0.018,1/2-,1,68.5,0.1,100.0,5.0,E2,,,,,127.0,,,,,,73.3,1.0,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
4,91,140,Pa,3,77.692,0.017,5/2-,0,0.0,,3/2-,2,77.6,0.2,72.0,12.0,[M1+E2],,,,,71.0,,,,,,25.0,16.0,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
5,91,140,Pa,4,84.2152,0.002,5/2+,2,58.5696,0.0024,7/2-,0,25.65,0.02,202.0,3.0,E1,,,3.37e-05,,,,,,,,4.37,0.06,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
6,91,140,Pa,4,84.2152,0.002,5/2+,0,0.0,,3/2-,1,84.214,0.0022,100.0,,E1,,,4.45e-07,,,,,,,,2.17,0.21,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
7,91,140,Pa,5,101.408,0.004,7/2+,4,84.2152,0.002,5/2+,0,17.195,0.021,460.0,160.0,(M1),,,,,,,,,,,166.0,3.0,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
8,91,140,Pa,5,101.408,0.004,7/2+,2,58.5696,0.0024,7/2-,1,42.81,0.05,100.0,2.3,[E1],,,,,,,,,,,1.136,0.016,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
9,91,140,Pa,6,102.2685,0.0021,3/2+,4,84.2152,0.002,5/2+,0,18.055,0.018,21.0,8.0,M1+E2,0.04,,,,,,,,,,218.0,28.0,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
10,91,140,Pa,6,102.2685,0.0021,3/2+,1,9.183,0.018,1/2-,1,93.02,0.04,10.6,1.2,(E1),,,,,,,,,,,0.1463,0.0021,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
11,91,140,Pa,6,102.2685,0.0021,3/2+,0,0.0,,3/2-,2,102.27,0.0024,100.0,3.0,(E1),,,,,,,,,,,0.1141,0.0016,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
12,91,140,Pa,7,111.648,0.012,(9/2+),2,58.5696,0.0024,7/2-,0,53.2,0.8,100.0,,[E1],,,,,,,,,,,0.64,0.03,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
13,91,140,Pa,9,168.77,0.05,11/2-,7,111.648,0.012,(9/2+),0,57.2,0.2,7.8,0.7,[E1],,,5.5e-05,,,,,,,,0.529,0.008,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
14,91,140,Pa,9,168.77,0.05,11/2-,2,58.5696,0.0024,7/2-,1,110.2,0.05,100.0,5.0,(E2),,,,,301.0,,,,,,7.8,0.11,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
15,91,140,Pa,10,171.74,0.11,(11/2+),7,111.648,0.012,(9/2+),0,60.3,0.3,100.0,22.0,[M1],,,,,,,0.0047,,,,18.3,0.4,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
16,91,140,Pa,10,171.74,0.11,(11/2+),5,101.408,0.004,7/2+,1,70.4,0.3,25.0,7.0,[E2],,,,,,,,,,,64.3,1.6,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
17,91,140,Pa,11,174.16,0.005,(5/2-),5,101.408,0.004,7/2+,0,72.751,0.0029,25.5,0.7,[E1],,,,,,,,,,,0.28,0.004,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
18,91,140,Pa,11,174.16,0.005,(5/2-),4,84.2152,0.002,5/2+,1,89.95,0.02,100.0,3.0,(E1),,,,,,,,,,,0.1598,0.0023,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
19,91,140,Pa,11,174.16,0.005,(5/2-),2,58.5696,0.0024,7/2-,2,115.63,0.03,0.1,0.03,[M1+E2],,,,,,,,,,,10.0,4.0,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
20,91,140,Pa,11,174.16,0.005,(5/2-),1,9.183,0.018,1/2-,3,165.0,0.05,0.35,0.01,[E2],,,,,,,,,,,1.464,0.021,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
