,mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me.1,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,,,,,,40.35,529.9,2,,,1U,,,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
1,29.78,0.55,0.0013,0.0003,,455.96,114.3,2,10.6,0.1,1NU,84.2,1.5,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
2,40.86,0.56,28.0,3.0,3e-11,415.761,154.5,2,6.62,0.05,1NU,113.4,1.4,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
3,45.71,0.57,12.9,2.3,5.5e-11,398.496,171.8,2,7.1,0.1,1NU,125.7,1.4,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
4,55.84,0.62,0.037,0.01,,380.37,189.9,2,9.3,0.1,1U,132.9,1.6,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
5,62.36,0.59,27.0,6.0,5.2e-11,340.478,229.8,2,7.2,0.1,1NU,167.1,1.6,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
6,68.14,0.59,0.024,0.002,,320.76,249.5,2,10.3,,2NU,175.0,1.6,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
7,70.75,0.6,25.0,4.0,1.2e-10,311.905,258.4,2,7.4,0.1,1NU,187.5,1.5,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
8,73.71,0.6,0.014,0.004,,301.93,268.4,2,10.7,0.1,A,194.2,1.7,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
9,74.64,0.6,0.127,0.02,,298.815,271.5,2,9.7,0.1,A,196.5,1.5,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
10,169.55,0.67,8.8,1.4,,0.0,570.3,2,8.9,0.1,1NU,400.3,1.3,91,142,Pa,,0,,3/2-,26.975,,13,d,2330640,1123.2,B-,100,,570.3,20,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
