,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,91,142,Pa,0,,0.0,,,3/2-,1.0,26.975,,13.0,d,2330640.0,1123.2,B-,100.0,,,,,,,,,4.0,0.7,-3.0,0.4,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
1,91,142,Pa,1,,6.677,0.012,,1/2-,1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
2,91,142,Pa,2,,57.111,0.01,,7/2-,1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
3,91,142,Pa,3,,70.546,0.019,,5/2-,1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
4,91,142,Pa,4,,86.481,0.008,,5/2+,1.0,36.5,,4.0,ns,3.65e-08,4e-10,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
5,91,142,Pa,5,,94.66,0.011,,3/2+,1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
6,91,142,Pa,6,,103.656,0.018,,7/2+,1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
7,91,142,Pa,7,,109.05,0.03,,9/2+,1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
8,91,142,Pa,8,,133.2,0.2,,(11/2+),1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
9,91,142,Pa,9,,163.26,0.05,,(11/2-),1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
10,91,142,Pa,10,,169.169,0.009,,1/2+,1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
11,91,142,Pa,11,,173.0,1.0,,13/2+,1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
12,91,142,Pa,12,,179.1,0.4,,(9/2-),1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
13,91,142,Pa,13,,201.645,0.016,,3/2+,2.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
14,91,142,Pa,14,,212.348,0.013,,5/2+,2.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
15,91,142,Pa,15,,237.904,0.011,,5/2+,3.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
16,91,142,Pa,16,,257.173,0.014,,5/2-,2.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
17,91,142,Pa,17,,279.727,0.021,,(7/2+),1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
18,91,142,Pa,18,,296.0,,,(5/2+ 11/2-),1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
19,91,142,Pa,19,,300.489,0.025,,7/2+,2.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
20,91,142,Pa,20,,303.62,0.06,,(9/2+),1.0,,,,,,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
