,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,13.458,,0.05668864,0.0143116039851303,AU,L,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,IT,0.16,0.04,,,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
1,13.813,,0.013440056954692,0.0013020043114394,AU,L,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
2,13.813,,90.0,10.0,AU,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
3,44.148,,0.0002503340428891,4.60447099327e-05,AU,KLX,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
4,44.148,,0.47,0.07,AU,KLX,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
5,57.653,,1.33,0.19,AU,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
6,57.653,,0.00070765569708,0.0001295451951265,AU,K,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
7,76.677,,0.0004200235618945,7.69341196134e-05,AU,KLL,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
8,76.677,,0.79,0.11,AU,KLL,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
9,109.905,,0.07,0.01,AU,KXY,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
10,109.905,,3.72980922962e-05,6.9322389456e-06,AU,KXY,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
11,9.85,,0.1772928,0.0257903999999999,CE,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
12,12.538,,5.912676,,CE,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
13,15.69,,3.8556,0.3262645858808461,CE,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
14,19.0,,0.895752,0.1796315129257669,CE,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
15,19.71,,8.17e-07,9.58718415e-08,CE,K,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
16,21.62,,8.648e-06,3.498842237e-06,CE,K,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
17,21.62,,0.00516672,0.0016491862080432,CE,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
18,21.728,,67.392,17.789590052612233,CE,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
19,23.688,,5.3352,3.28289258429209,CE,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
20,24.49,,0.003712,0.0028451172207837,CE,K,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
21,24.54,,1.53468,1.1816658536574542,CE,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
22,25.3,,0.0561168,0.0073495421205949,CE,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
23,28.17,,1.084752,,CE,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
24,28.747,,1.628748,,CE,M,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
25,32.854,,0.4412232,,CE,N,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
26,33.198,,0.8748,,CE,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
27,33.198,,0.00440316,,CE,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
28,33.971,,0.1008612,,CE,O,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
29,34.27,,0.016632,0.004955193057793,CE,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
30,36.438,,1.1375316,0.3691216729888533,CE,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
31,37.1,,1.359288,0.1482298076501484,CE,K,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
32,37.428,,2.3436,1.8471475550155705,CE,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
33,37.937,,18.62352,4.9152690141639255,CE,M,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
34,39.897,,1.404,0.9539133922951288,CE,M,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
35,40.938,,0.5184,0.1450591176038238,CE,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
36,40.938,,0.000384,0.0001281405478371,CE,L,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
