,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,10.0,,,,69.54,73.92+X,,73.92,,,,,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,IT,0.16,0.04,,,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
1,34.3,0.04,0.003564,0.0002970000021384,,1023.8,7.6e-10,989.4,(E2),,,2269.0,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
2,41.82,0.11,,,,851.7,,809.9,,,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
3,41.82,,,,,851.75,1e-10,809.96,,,,,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
4,43.49,0.02,0.1296,0.0341525987298185,,43.5,,0.0,E2,,,713.0,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
5,43.498,0.001,,,,43.4978,,0.0,E2,,,713.0,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
6,45.45,0.05,0.02808,0.0089512680665925,,1069.3,,1023.8,M1+E2,0.8,4,250.0,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
7,54.96,0.1,0.00972,0.00081,,1023.9,,968.4,[M1+E2],,,130.0,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
8,54.96,0.1,0.00972,0.00081,,1023.8,,968.4,[E1],,,0.603,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
9,55.45,0.05,0.02808,0.0089512680665925,,,,,,,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
10,58.2,0.06,0.008964,0.0029056622308864,,1127.5,,1069.3,(E2),,,174.0,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
11,59.19,0.05,0.03348,0.0111545551233565,,1782.6,,1723.0,[M1+E2],,,90.0,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
12,62.7,0.01,1.62,0.4526024745844856,7.6e-10,989.4,,926.7,E1,,,0.426,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
13,62.7,0.01,0.0012,0.0004,,989.389,,926.688,E1,,,0.426,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
14,67.25,0.1,0.0378,0.01125,,1194.8,,1127.5,M1+E2,1.2,3,57.0,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
15,69.46,0.05,0.01836,0.0077132677899836,,1194.8,,1125.3,[E2 M1],,,40.0,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
16,73.92,0.02,0.013,0.003,,73.92,24120.0,0.0,(M1+E2),0.11,3,11.2,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,IT,0.16,0.04,,,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
17,75.0,0.3,,,,1312.2,,1237.2,,,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
18,79.84,0.02,0.0648,0.0222647703783353,,1069.3,7.6e-10,989.4,E2,,,38.4,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
19,97.17,0.1,0.2484,0.0888450899037194,,1023.8,,926.7,[E1],,,0.1343,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
20,99.86,0.02,3.348,0.6078165841765096,,143.4,,43.5,E2,,,13.42,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
21,99.9,,,,,143.24,,43.4978,E2,,,13.42,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
22,100.89,0.02,0.1296,0.0241495341569977,,1069.3,,968.4,[E1],,,0.1218,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
23,103.77,0.02,0.2484,0.0384480168539288,,1127.5,,1023.8,(E2),,,11.22,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
24,106.68,0.05,0.0378,0.01125,,1069.3,,962.6,[M1],,,3.83,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
25,125.46,0.01,0.8208,0.118854532938378,,1194.8,,1069.3,E2,,,4.89,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
26,131.3,0.01,18.9,1.575,2.2e-09,1552.6,3.35e-05,1421.0,E1,,,0.265,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
27,134.61,0.02,0.1188,0.0237606818083993,,1723.4,,1588.8,M1,,,9.5,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
28,135.32,0.08,4.3e-06,5e-07,,1570.61,,1435.11,[E1],,,0.247,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
29,137.23,0.05,0.02808,0.0089512680665925,,1126.6,7.6e-10,989.4,[E1],,,0.239,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
30,137.23,0.05,4.7e-05,1.9e-05,,1126.37,,989.389,[E1],,,0.239,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
31,140.1,1.0,0.00128,0.00014,,989.389,,849.23,M1+E2,1.2,6,5.3,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
32,140.15,0.02,0.5292,0.0697195094647115,7.6e-10,989.4,,849.0,M1+E2,1.2,6,5.3,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
33,140.91,0.03,0.324,0.0421753482498959,,1693.4,2.2e-09,1552.6,[E1],,,0.224,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
34,143.78,0.02,0.3348,0.0427571046727909,3.35e-05,1421.3,,1277.5,(M1+E2),1.0,AP,5.31,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
35,149.88,0.03,0.0756,0.0225,,1277.5,,1127.5,[E2],,,2.31,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
36,152.71,0.02,6.264,0.6775750880898737,,296.0,,143.4,E2,,,2.14,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
37,159.48,0.02,0.6804,0.0945,3.35e-05,1421.3,,1261.8,[E1],,,0.1676,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
38,164.94,0.05,0.054,0.0220637712098362,,1127.5,,962.6,[E2 M1],,,3.5,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
39,165.61,0.05,0.0756,0.0225,,1927.5,,1761.9,[E1],,,0.1533,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
40,166.5,0.1,2.4e-07,7e-08,,1601.81,,1435.11,[E1],,,0.1514,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
41,170.85,0.02,0.5292,0.0697195094647115,,1723.4,2.2e-09,1552.6,M1,,,4.83,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
42,174.55,0.03,0.1728,0.0259599691833407,,1023.8,,849.0,[M1+E2],,,2.9,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
43,179.8,0.08,0.04644,0.0166558368147625,,1723.4,,1543.7,[M1],,,4.19,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
44,184.7,0.5,0.00168,0.00017,,1174.1,,989.389,,,,,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
45,186.15,0.02,1.8468,0.1880138558723798,,1723.4,,1537.3,M1,,,3.79,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
46,193.4,0.8,0.00072,0.00014,,1044.539,,851.75,[E2],,,0.847,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
47,193.4,0.8,0.00072,0.00014,,1237.35,,1044.539,[E1],,,0.1065,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
48,193.73,0.03,0.5184,0.0778799075500221,,1782.6,,1588.8,(M1+E2),,,2.1,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
49,196.8,0.05,0.0756,0.0225,,1165.4,,968.4,E0+E2+M1,,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
50,197.91,0.15,2.7e-05,7e-06,,1435.11,,1237.35,[M1 E2],,,2.0,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
51,199.9,1.0,0.00057,0.00011,,1126.37,,926.688,(E0+E2+M1),,,,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
52,199.95,0.05,0.0756,0.0225,,1126.6,,926.7,(E0+E2+M1),,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
53,200.97,0.03,0.9396,0.1248147827783231,,497.0,,296.0,E2,,,0.734,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
54,203.12,0.03,1.2852,0.1521,7.6e-10,989.4,,786.3,M1+E2,1.5,4,1.4,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
55,203.3,0.8,0.0017,0.0004,,989.389,,786.312,M1+E2,1.5,4,1.4,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
56,209.9,0.4,0.00135,0.00017,,1781.27,,1570.61,,,,,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
57,220.0,0.08,0.1512,0.0250063991810096,,1069.3,,849.0,(M1),,,2.37,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
58,221.15,0.1,0.054,0.0220637712098362,,1958.8,,1738.2,[E1],,,0.078,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
59,221.83,0.1,0.0756,0.0225,,1496.1,,1274.3,[E2],,,0.513,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
60,226.5,0.03,4.428,0.4910570231653346,3.35e-05,1421.3,,1194.8,M1+E2,1.0,2,1.33,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
61,227.25,0.03,6.048,0.5991594111753565,,1723.4,,1496.1,M1,,,2.17,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
62,232.21,0.03,0.1836,0.0264697941057349,,1194.8,,962.6,[E2 M1],,,1.2,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
63,233.6,0.2,,,,1085.0,,851.7,,,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
64,233.6,0.2,,,,1085.11,,851.75,,,,,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
65,235.11,0.03,0.1188,0.0237606818083993,,1958.8,,1723.0,[E1],,,0.0678,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
66,235.9,0.3,8e-05,4e-05,,1085.11,,849.23,[E1],,,0.0673,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
67,235.9,0.3,,,,1085.0,,849.0,,,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
68,236.0,1.0,,,,1044.539,1e-10,809.96,E0,,,,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
69,240.2,0.1,0.054,0.0220637712098362,,1793.1,2.2e-09,1552.6,[M1 E2],,,1.1,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
70,243.5,0.8,0.0005,8e-05,,,,,,,,,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
71,245.37,0.02,0.7884,0.1085423880334314,,1782.6,,1537.3,M1,,,1.749,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
72,247.7,0.8,0.000244,1.7e-05,,1237.35,,989.389,[M1 E2],,,1.0,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
73,247.79,0.07,0.0003888,4.58205194208e-05,,1237.2,7.6e-10,989.4,,,,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
74,249.22,0.01,2.592,0.3893995377501108,3.35e-05,1421.3,,1172.0,E1,,,0.0594,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
75,257.2,0.1,0.054,0.0220637712098362,,1981.2,,1723.0,[M1 E2],,,0.9,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
76,258.227,0.003,0.0764,0.0021,,1044.539,,786.312,(E1),,,0.0548,,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
77,267.12,0.05,0.1836,0.0264697941057349,,1214.7,,947.6,[E2 M1],,,0.8,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
