,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,16.228,,0.05403136,0.0136540701267863,X,L,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,IT,0.16,0.04,,,91,143,Pa,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
1,16.678,,0.013440056954692,0.0013020043114394,X,L,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
2,16.678,,90.0,10.0,X,L,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
3,94.657,,0.0067779150274623,0.000851547700578,X,KA2,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
4,94.657,,12.7,0.7,X,KA2,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
5,98.439,,20.4,1.1,X,KA1,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
6,98.439,,0.0108498719824914,0.001362438905798,X,KA1,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
7,111.238,,0.0039143670111521,0.0004960806828743,X,KpB1,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
8,111.238,,7.4,0.4,X,KpB1,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
9,112.645,,9.9,0.5,X,KB,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
10,112.645,,0.0052530805289662,0.0006654525219103,X,KB,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
11,114.446,,0.001338713517814,0.0001707847604695,X,KpB2,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
12,114.446,,2.52,0.14,X,KpB2,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194.0,4.0,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
