,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,82,124,Pb,1,803.054,0.025,2+,0.0,0.0,,0+,0,803.06,0.03,100.0,,E2,,,,,2.8,,,,,,0.01033,,31-Jan-2008,F.G. KONDEV,2024-04-27
1,82,124,Pb,2,1166.4,0.3,0+,1.0,803.054,0.025,2+,0,363.3,0.5,0.24,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
2,82,124,Pb,2,1166.4,0.3,0+,0.0,0.0,,0+,1,1166.4,0.5,,,E0,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
3,82,124,Pb,3,1340.49,0.04,3+,1.0,803.054,0.025,2+,0,537.47,0.03,100.0,,M1(+E2),0.001,0.005,,,,,,,,,0.09,,31-Jan-2008,F.G. KONDEV,2024-04-27
4,82,124,Pb,4,1466.81,0.03,2+,3.0,1340.49,0.04,3+,0,126.42,0.06,3.8,0.4,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
5,82,124,Pb,4,1466.81,0.03,2+,1.0,803.054,0.025,2+,1,663.75,0.03,100.0,1.0,(M1+E2),-0.07,0.02,,,,,,,,,0.0516,,31-Jan-2008,F.G. KONDEV,2024-04-27
6,82,124,Pb,4,1466.81,0.03,2+,0.0,0.0,,0+,2,1466.78,0.04,30.4,0.7,E2,,,,,,,,,,,0.00328,,31-Jan-2008,F.G. KONDEV,2024-04-27
7,82,124,Pb,5,1683.99,0.04,4+,3.0,1340.49,0.04,3+,0,343.51,0.03,35.4,0.5,M1(+E2),0.001,0.003,,,,,,,,,0.297,,31-Jan-2008,F.G. KONDEV,2024-04-27
8,82,124,Pb,5,1683.99,0.04,4+,1.0,803.054,0.025,2+,1,880.98,0.04,100.0,1.0,E2,,,,,,,,,,,0.00857,,31-Jan-2008,F.G. KONDEV,2024-04-27
9,82,124,Pb,6,1704.45,0.03,1+,0.0,0.0,,0+,0,1704.45,0.03,100.0,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
10,82,124,Pb,7,1784.09,0.06,2+,4.0,1466.81,0.03,2+,0,317.52,0.14,23.0,3.0,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
11,82,124,Pb,7,1784.09,0.06,2+,2.0,1166.4,0.3,0+,1,617.6,0.4,11.0,3.0,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
12,82,124,Pb,7,1784.09,0.06,2+,1.0,803.054,0.025,2+,2,980.99,0.05,100.0,4.0,M1+E2,0.17,0.02,,,,,,,,,0.0185,,31-Jan-2008,F.G. KONDEV,2024-04-27
13,82,124,Pb,7,1784.09,0.06,2+,0.0,0.0,,0+,3,1784.7,1.1,5.2,1.5,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
14,82,124,Pb,8,1997.67,0.04,4+,5.0,1683.99,0.04,4+,0,313.66,0.04,21.0,2.0,M1(+E2),,,,,,,,,,,0.24,0.14,31-Jan-2008,F.G. KONDEV,2024-04-27
15,82,124,Pb,8,1997.67,0.04,4+,3.0,1340.49,0.04,3+,1,657.18,0.04,100.0,2.0,M1(+E2),0.44,,,,,,,,,,0.05,0.004,31-Jan-2008,F.G. KONDEV,2024-04-27
16,82,124,Pb,8,1997.67,0.04,4+,1.0,803.054,0.025,2+,2,1194.68,0.08,14.5,0.8,E2,,,,,,,,,,,0.00474,,31-Jan-2008,F.G. KONDEV,2024-04-27
17,82,124,Pb,9,2148.97,0.07,2+,4.0,1466.81,0.03,2+,0,682.29,0.19,20.0,3.0,(M1+E2),-0.22,0.05,,,,,,,,,0.0466,0.001,31-Jan-2008,F.G. KONDEV,2024-04-27
18,82,124,Pb,9,2148.97,0.07,2+,3.0,1340.49,0.04,3+,1,808.58,0.17,20.0,3.0,(M1+E2),-0.27,0.11,,,,,,,,,0.0296,0.0013,31-Jan-2008,F.G. KONDEV,2024-04-27
19,82,124,Pb,9,2148.97,0.07,2+,1.0,803.054,0.025,2+,2,1345.88,0.07,100.0,5.0,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
20,82,124,Pb,10,2196.7,0.4,(3)+,4.0,1466.81,0.03,2+,0,729.2,0.8,7.0,3.0,(M1+E2),-0.05,0.05,,,,,,,,,0.0405,0.0007,31-Jan-2008,F.G. KONDEV,2024-04-27
21,82,124,Pb,10,2196.7,0.4,(3)+,3.0,1340.49,0.04,3+,1,856.6,0.6,100.0,,(M1+E2),-0.026,0.015,,,,,,,,,0.0267,,31-Jan-2008,F.G. KONDEV,2024-04-27
22,82,124,Pb,10,2196.7,0.4,(3)+,1.0,803.054,0.025,2+,2,1393.8,0.8,78.0,5.0,(M1+E2),-0.019,0.009,,,,,,,,,0.00775,,31-Jan-2008,F.G. KONDEV,2024-04-27
23,82,124,Pb,11,2200.16,0.04,7-,8.0,1997.67,0.04,4+,0,202.44,0.03,0.11,0.01,[E3],,,,,,,,,,,3.78,,31-Jan-2008,F.G. KONDEV,2024-04-27
24,82,124,Pb,11,2200.16,0.04,7-,5.0,1683.99,0.04,4+,1,516.18,0.04,100.0,1.0,E3,,,,,,,,,,,0.0887,,31-Jan-2008,F.G. KONDEV,2024-04-27
25,82,124,Pb,12,2236.53,0.14,,1.0,803.054,0.025,2+,0,1433.47,0.13,100.0,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
26,82,124,Pb,14,2384.15,0.04,6-,11.0,2200.16,0.04,7-,0,183.977,0.016,100.0,,M1(+E2),-0.013,0.025,,,0.08,,0.044,,,,1.668,,31-Jan-2008,F.G. KONDEV,2024-04-27
27,82,124,Pb,15,2391.34,0.08,,1.0,803.054,0.025,2+,0,1588.2,0.1,100.0,,M1(+E2) E3,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
28,82,124,Pb,16,2423.36,0.04,2+,7.0,1784.09,0.06,2+,0,639.0,0.4,4.9,1.3,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
29,82,124,Pb,16,2423.36,0.04,2+,6.0,1704.45,0.03,1+,1,718.92,0.05,48.5,2.0,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
30,82,124,Pb,16,2423.36,0.04,2+,4.0,1466.81,0.03,2+,2,956.56,0.11,20.6,1.6,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
31,82,124,Pb,16,2423.36,0.04,2+,3.0,1340.49,0.04,3+,3,1082.7,0.3,8.5,1.6,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
32,82,124,Pb,16,2423.36,0.04,2+,1.0,803.054,0.025,2+,4,1620.3,0.06,100.0,4.0,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
33,82,124,Pb,17,2647.8,0.06,3-,5.0,1683.99,0.04,4+,0,964.22,0.1,6.4,0.7,[E1],,,0.00015,,,,,,,,0.00267,,31-Jan-2008,F.G. KONDEV,2024-04-27
34,82,124,Pb,17,2647.8,0.06,3-,1.0,803.054,0.025,2+,1,1844.49,0.1,100.0,4.0,E1,,,0.00033,,,,,,,,0.00129,,31-Jan-2008,F.G. KONDEV,2024-04-27
35,82,124,Pb,18,2658.32,0.19,9-,11.0,2200.16,0.04,7-,0,458.1,0.2,100.0,,E2,,,,,,,,,,,0.0364,,31-Jan-2008,F.G. KONDEV,2024-04-27
36,82,124,Pb,19,2782.17,0.04,5-,14.0,2384.15,0.04,6-,0,398.0,0.03,79.6,0.7,M1(+E2),0.038,0.003,,,,,,,,,0.2,,31-Jan-2008,F.G. KONDEV,2024-04-27
37,82,124,Pb,19,2782.17,0.04,5-,11.0,2200.16,0.04,7-,1,581.97,0.08,3.59,0.18,E2,,,,,,,,,,,0.0206,,31-Jan-2008,F.G. KONDEV,2024-04-27
38,82,124,Pb,19,2782.17,0.04,5-,8.0,1997.67,0.04,4+,2,784.58,0.07,3.97,0.07,E1,,,,,,,,,,,0.00391,,31-Jan-2008,F.G. KONDEV,2024-04-27
39,82,124,Pb,19,2782.17,0.04,5-,5.0,1683.99,0.04,4+,3,1098.26,0.07,100.0,11.0,E1,,,,,,,,,,,0.00212,,31-Jan-2008,F.G. KONDEV,2024-04-27
40,82,124,Pb,20,2826.31,0.04,(4)-,19.0,2782.17,0.04,5-,0,44.11,0.018,6.4,0.8,M1(+E2),0.037,,,,,,,,,,19.3,0.4,31-Jan-2008,F.G. KONDEV,2024-04-27
41,82,124,Pb,20,2826.31,0.04,(4)-,15.0,2391.34,0.08,,1,434.89,0.1,20.5,1.8,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
42,82,124,Pb,20,2826.31,0.04,(4)-,14.0,2384.15,0.04,6-,2,442.14,0.1,34.0,4.0,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
43,82,124,Pb,20,2826.31,0.04,(4)-,5.0,1683.99,0.04,4+,3,1142.37,0.1,100.0,4.0,E1,,,,,,,,,,,0.00198,,31-Jan-2008,F.G. KONDEV,2024-04-27
44,82,124,Pb,20,2826.31,0.04,(4)-,1.0,803.054,0.025,2+,4,2022.8,0.2,11.6,1.8,M2 E3,,,,,,,,,,,0.0055,0.0019,31-Jan-2008,F.G. KONDEV,2024-04-27
45,82,124,Pb,21,2864.55,0.06,7-,14.0,2384.15,0.04,6-,0,480.38,0.1,91.0,9.0,M1,,,,,,,,,,,0.1211,,31-Jan-2008,F.G. KONDEV,2024-04-27
46,82,124,Pb,21,2864.55,0.06,7-,11.0,2200.16,0.04,7-,1,664.17,0.1,100.0,5.0,M1,,,,,,,,,,,0.0517,,31-Jan-2008,F.G. KONDEV,2024-04-27
47,82,124,Pb,21,2864.55,0.06,7-,5.0,1683.99,0.04,4+,2,1180.7,0.1,68.0,7.0,[E3],,,,,,,,,,,0.01068,,31-Jan-2008,F.G. KONDEV,2024-04-27
48,82,124,Pb,22,2929.09,0.09,4+,3.0,1340.49,0.04,3+,0,1588.59,0.08,100.0,,M1,,,,,,,,,,,0.00568,,31-Jan-2008,F.G. KONDEV,2024-04-27
49,82,124,Pb,23,2939.6,0.05,6-,19.0,2782.17,0.04,5-,0,157.504,0.028,22.6,2.5,M1(+E2),0.14,,,,,,,,,,2.57,,31-Jan-2008,F.G. KONDEV,2024-04-27
50,82,124,Pb,23,2939.6,0.05,6-,14.0,2384.15,0.04,6-,1,555.3,0.1,23.9,2.5,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
51,82,124,Pb,23,2939.6,0.05,6-,11.0,2200.16,0.04,7-,2,739.24,0.08,100.0,5.0,M1(+E2),,,,,,,,,,,0.026,0.014,31-Jan-2008,F.G. KONDEV,2024-04-27
52,82,124,Pb,24,2954.5,0.3,8-,18.0,2658.32,0.19,9-,0,296.2,0.4,68.0,8.0,M1,,,,,,,,,,,0.445,,31-Jan-2008,F.G. KONDEV,2024-04-27
53,82,124,Pb,24,2954.5,0.3,8-,11.0,2200.16,0.04,7-,1,754.4,0.4,100.0,8.0,M1,,,,,,,,,,,0.0371,,31-Jan-2008,F.G. KONDEV,2024-04-27
