,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,82,124,Pb,0,,0.0,,,0+,1.0,STABLE,,,,,,,,,,,,,,,,-0.152,0.003,0.05,0.09,31-Jan-2008,F.G. KONDEV,2024-04-27
1,82,124,Pb,1,,803.054,0.025,,2+,1.0,8.30,,25.0,ps,8.3e-12,2.5e-13,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
2,82,124,Pb,2,,1166.4,0.3,,0+,2.0,0.75,,4.0,ns,7.5e-10,4e-11,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
3,82,124,Pb,3,,1340.49,0.04,,3+,1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
4,82,124,Pb,4,,1466.81,0.03,,2+,2.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
5,82,124,Pb,5,,1683.99,0.04,,4+,1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
6,82,124,Pb,6,,1704.45,0.03,,1+,1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
7,82,124,Pb,7,,1784.09,0.06,,2+,3.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
8,82,124,Pb,8,,1997.67,0.04,,4+,2.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
9,82,124,Pb,9,,2148.97,0.07,,2+,4.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
10,82,124,Pb,10,,2196.7,0.4,,(3)+,1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
11,82,124,Pb,11,,2200.16,0.04,,7-,1.0,125,,2.0,us,0.000125,2e-06,IT,100.0,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
12,82,124,Pb,12,,2236.53,0.14,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
13,82,124,Pb,13,,2314.0,2.0,,0+,3.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
14,82,124,Pb,14,,2384.15,0.04,,6-,1.0,30,,10.0,ps,3e-11,1e-11,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
15,82,124,Pb,15,,2391.34,0.08,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
16,82,124,Pb,16,,2423.36,0.04,,2+,5.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
17,82,124,Pb,17,,2647.8,0.06,,3-,1.0,0.087,,21.0,ps,8.7e-14,2.1e-14,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
18,82,124,Pb,18,,2658.32,0.19,,9-,1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
19,82,124,Pb,19,,2782.17,0.04,,5-,1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
20,82,124,Pb,20,,2826.31,0.04,,(4)-,1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
21,82,124,Pb,21,,2864.55,0.06,,7-,2.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
22,82,124,Pb,22,,2929.09,0.09,,4+,3.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
23,82,124,Pb,23,,2939.6,0.05,,6-,2.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
24,82,124,Pb,24,,2954.5,0.3,,8-,1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
25,82,124,Pb,25,,2960.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
26,82,124,Pb,26,,2984.0,5.0,,2+,6.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
27,82,124,Pb,27,,3016.43,0.04,,5-,2.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
28,82,124,Pb,28,,3033.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
29,82,124,Pb,29,,3122.38,0.17,,(3+),1.0,,,,,,,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
