,mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me.1,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,25.3,1.7,0.0186,0.0011,,1270.72,96,6,5.91,0.09,,70.9,4.4,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
1,35.3,1.7,0.0013,0.0003,,1234.3,133,6,7.49,0.12,,97.8,4.4,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
2,45.9,1.8,0.017,0.003,,1196.33,171,6,6.71,0.09,,125.2,4.3,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
3,71.3,1.8,0.83,0.04,,1109.485,258,6,5.58,0.04,1NU,186.9,4.3,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
4,73.1,1.8,0.0046,0.0007,,1103.5,263,6,7.87,0.08,,191.2,4.3,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
5,80.2,1.9,0.056,0.006,,1080.15,287,6,6.9,0.06,,207.3,4.4,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
6,120.7,2.0,0.022,0.013,,951.0,416,6,7.8,0.3,,295.8,4.1,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
7,160.2,2.1,6.28,0.1,9e-11,831.96,535,6,5.733,0.0018,1NU,375.3,4.0,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
8,313.7,2.3,1.63,0.09,3.17e-10,404.866,962,6,7.19,0.03,1NU,649.4,3.7,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
9,471.3,2.4,91.32,0.12,128.4,0.0,1367,6,5.99,0.008,1NU,896.1,3.3,82,129,Pb,,0,,9/2+,36.1,,2,m,2166,12,B-,100,,1366,5,83,128,Bi,28-FEB-2013,E.A. McCutchan and  C.M. Baglin and  O. Gorbachenko and  N. Todorovic,2024-04-27
