,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,9.5,,,,,62.68,1.5e-11,53.226,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
1,53.2256,0.0016,1.073529,0.0109599429670048,1.5e-11,53.226,1182.6,0.0,M1+E2,0.038,22.0,12.2,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
2,107.22,0.09,0.0068175,0.0013637978222595,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
3,137.5,0.3,0.05454,0.0136369061373905,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
4,141.3,0.6,0.02727,0.0136354765593286,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
5,170.07,0.06,0.014544,0.0027276777009023,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
6,196.2,0.05,0.068175,0.0090944667243329,,258.869,,62.68,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
7,205.68,0.09,0.0113625,0.0013643271235301,,258.869,1.5e-11,53.226,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
8,216.47,0.07,0.009999,0.0022728843987321,,,,,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
9,241.995,0.004,7.26291,0.0379246182446178,5e-11,295.2236,1.5e-11,53.226,M1+E2,0.5,8.0,0.718,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
10,258.86,0.04,0.5313105,0.0046546187233757,,258.869,1182.6,0.0,M1,,,0.696,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
11,274.8,0.05,0.3358755,0.0083006179173601,,533.672,,258.869,M1,,,0.59,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
12,295.224,0.002,18.47088,0.1124952743718597,5e-11,295.2236,1182.6,0.0,M1+E2,0.39,7.0,0.438,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
13,305.26,0.03,0.031815,0.0022763886421259,,838.994,,533.672,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
14,314.32,0.07,0.074538,0.009095339166848,,377.03,,62.68,,,,,,82,132,Pb,,0,,0+,27.06,,7,m,1623.6,4.2,B-,100,,1018,11,83,131,Bi,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
