,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,84,128,Po,1,727.33,0.009,2+,0,0.0,,0+,0,727.33,0.009,100.0,,E2,,,,,2.57,,,,,,0.01393,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
1,84,128,Po,2,1132.51,0.1,4+,1,727.33,0.009,2+,0,405.2,0.1,100.0,,E2,,,,,,,,,,,0.0543,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
2,84,128,Po,4,1355.49,0.14,6+,2,1132.51,0.1,4+,0,223.0,0.1,100.0,,E2,,,,,13.2,,,,,,0.324,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
3,84,128,Po,5,1476.39,0.17,8+,4,1355.49,0.14,6+,0,120.9,0.1,100.0,,E2,,,,,4.56,,,,,,3.25,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
4,84,128,Po,6,1512.7,0.08,2+,1,727.33,0.009,2+,0,785.37,0.08,100.0,1.0,M1+E2,0.09,0.03,,,0.32,,0.071,,,,0.0387,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
5,84,128,Po,6,1512.7,0.08,2+,0,0.0,,0+,1,1512.7,0.3,26.0,3.0,[E2],,,,,0.39,,,,,,0.00344,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
6,84,128,Po,7,1536.85,0.1,3,2,1132.51,0.1,4+,0,405.0,1.0,8.0,4.0,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
7,84,128,Po,7,1536.85,0.1,3,1,727.33,0.009,2+,1,809.5,0.1,100.0,13.0,D,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
8,84,128,Po,11,1620.739,0.01,1+,1,727.33,0.009,2+,0,893.408,0.005,25.8,1.3,M1+E2,-0.031,0.034,,,,,,,,,0.0278,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
9,84,128,Po,11,1620.739,0.01,1+,0,0.0,,0+,1,1620.5,0.1,100.0,2.2,(M1),,,,,,,,,,,0.0062,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
