,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,5014.4,,0.00044,4.4e-10,,873.0,125.0,12.5,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
1,5025.5,,0.00063,6.3e-10,,861.0,100.0,10.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
2,5036.0,,0.0004,4e-09,,851.0,190.0,19.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
3,5056.0,,0.0002,2e-09,,830.0,500.0,50.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
4,5086.2,,0.0003,3e-09,,800.0,500.0,50.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
5,5112.4,,0.0006,6e-09,,773.0,360.0,36.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
6,5134.8,,0.0017,1.7e-08,,748.0,180.0,18.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
7,5151.8,,0.02,0.003,,732.84,19.0,3.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
8,5172.8,,0.0201,0.0023,,711.34,25.0,3.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
9,5211.6,,0.0022,0.001,,672.5,380.0,170.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
10,5236.3,,0.041,0.021,,646.09,28.0,15.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
11,5258.8,,0.06,0.007,,623.7,26.0,3.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
12,5282.8,,0.135,0.007,,598.721,16.0,1.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
13,5287.3,1.0,0.2,0.05,,594.08,11.0,3.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
14,5338.7,1.0,0.092,0.008,,542.011,48.0,5.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
15,5365.6,1.0,0.13,0.00013,,514.42,48.0,4.8,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
16,5424.0,,0.39,0.05,,446.82,37.0,5.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
17,5433.6,0.5,1.8,0.03,6.2e-12,445.037,6.8,0.7,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
18,5481.2,,0.001,0.0007,,397.0,27000.0,19000.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
19,5501.6,1.0,1.0,0.15,6.9e-12,376.19,34.0,6.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
20,5528.0,,0.14,0.04,,342.792,370.0,110.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
21,5539.8,0.9,8.9,0.2,6.1e-12,338.276,6.1,0.2,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
22,5606.73,0.3,25.0,0.5,1.42e-11,269.475,4.9,0.1,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
23,5716.23,0.29,51.2,1.3,4.23e-11,158.631,8.6,0.2,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
24,5747.0,0.4,8.9,0.2,4.02e-10,126.726,71.0,2.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
25,5857.5,1.0,0.31,0.04,8.75e-10,14.4,7100.0,1000.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
26,5871.3,1.0,1.0,0.2,3.96,0.0,2600.0,500.0,88,135,Ra,,0,,3/2+,11.43,,5,d,987552,4320,A,100,,5978.99,21,86,133,Rn,19-May-2021,Balraj Singh et al. and ,2024-04-27
