,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,88,135,Ra,1,29.858,0.008,5/2+,0,0.0,,3/2+,0,29.86,0.01,100.0,,M1+E2,0.41,0.1,,,,,,,,,540.0,150.0,1-May-2001,E. BROWNE,2024-04-27
1,88,135,Ra,2,50.128,0.009,3/2-,1,29.858,0.008,5/2+,0,20.25,0.05,2.8,0.3,[E1],,,0.0005,,,,,,,,7.73,,1-May-2001,E. BROWNE,2024-04-27
2,88,135,Ra,2,50.128,0.009,3/2-,0,0.0,,3/2+,1,50.13,0.01,100.0,5.0,E1,,,0.00119,,,,,,,,0.707,,1-May-2001,E. BROWNE,2024-04-27
3,88,135,Ra,3,61.424,0.01,(7/2)+,1,29.858,0.008,5/2+,0,31.58,0.01,76.0,12.0,M1+E2,0.28,0.06,,,70.0,,0.0027,,,,272.0,75.0,1-May-2001,E. BROWNE,2024-04-27
4,88,135,Ra,3,61.424,0.01,(7/2)+,0,0.0,,3/2+,1,61.441,0.02,100.0,12.0,E2,,,,,44.0,,,,,,98.4,,1-May-2001,E. BROWNE,2024-04-27
5,88,135,Ra,4,79.708,0.013,(5/2)-,2,50.128,0.009,3/2-,0,29.6,0.03,0.3,0.003,[M1+E2],,,,,,,,,,,2078.0,207.8,1-May-2001,E. BROWNE,2024-04-27
6,88,135,Ra,4,79.708,0.013,(5/2)-,1,29.858,0.008,5/2+,1,49.82,0.05,22.0,5.0,E1,,,,,,,,,,,0.716,,1-May-2001,E. BROWNE,2024-04-27
7,88,135,Ra,4,79.708,0.013,(5/2)-,0,0.0,,3/2+,2,79.69,0.02,100.0,4.0,E1,,,,,,,,,,,0.205,,1-May-2001,E. BROWNE,2024-04-27
8,88,135,Ra,5,104.6,0.13,,3,61.424,0.01,(7/2)+,0,43.8,0.5,100.0,40.0,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
9,88,135,Ra,5,104.6,0.13,,1,29.858,0.008,5/2+,1,75.01,0.05,49.0,19.0,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
10,88,135,Ra,6,123.793,0.018,7/2-,4,79.708,0.013,(5/2)-,0,44.22,0.12,3.5,0.9,M1+E2,0.52,0.04,,,110.0,,0.0025,,,,132.0,12.0,1-May-2001,E. BROWNE,2024-04-27
11,88,135,Ra,6,123.793,0.018,7/2-,3,61.424,0.01,(7/2)+,1,62.45,0.05,13.4,1.7,E1,,,2e-05,,,,,,,,0.393,,1-May-2001,E. BROWNE,2024-04-27
12,88,135,Ra,6,123.793,0.018,7/2-,2,50.128,0.009,3/2-,2,73.63,0.05,0.9,0.4,E2,,,,,10.0,,,,,,41.3,,1-May-2001,E. BROWNE,2024-04-27
13,88,135,Ra,6,123.793,0.018,7/2-,1,29.858,0.008,5/2+,3,93.88,0.05,100.0,2.2,E1,,,7.9e-05,,,,,,,,0.132,,1-May-2001,E. BROWNE,2024-04-27
14,88,135,Ra,7,130.141,0.018,9/2+,6,123.793,0.018,7/2-,0,6.5,0.3,100.0,30.0,[E1],,,,,,,,,,,41.2,,1-May-2001,E. BROWNE,2024-04-27
15,88,135,Ra,7,130.141,0.018,9/2+,3,61.424,0.01,(7/2)+,1,68.74,0.03,64.0,12.0,M1+E2,0.45,,,,,,,,,,17.8,,1-May-2001,E. BROWNE,2024-04-27
16,88,135,Ra,7,130.141,0.018,9/2+,1,29.858,0.008,5/2+,2,100.27,0.03,93.0,18.0,E2,,,,,,,,,,,9.61,,1-May-2001,E. BROWNE,2024-04-27
17,88,135,Ra,8,174.569,0.024,9/2-,7,130.141,0.018,9/2+,0,44.4,0.05,0.7,0.8,[E1],,,,,,,,,,,0.978,,1-May-2001,E. BROWNE,2024-04-27
18,88,135,Ra,8,174.569,0.024,9/2-,6,123.793,0.018,7/2-,1,50.85,0.05,2.9,1.2,M1+E2,0.4,0.1,,,,,,,,,54.0,14.0,1-May-2001,E. BROWNE,2024-04-27
19,88,135,Ra,8,174.569,0.024,9/2-,5,104.6,0.13,,2,69.8,0.3,1.9,0.8,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
20,88,135,Ra,8,174.569,0.024,9/2-,4,79.708,0.013,(5/2)-,3,94.97,0.05,5.0,3.0,E2,,,,,,,,,,,12.4,,1-May-2001,E. BROWNE,2024-04-27
21,88,135,Ra,8,174.569,0.024,9/2-,3,61.424,0.01,(7/2)+,4,113.11,0.05,100.0,,E1,,,,,,,,,,,0.362,,1-May-2001,E. BROWNE,2024-04-27
22,88,135,Ra,9,174.58,0.04,11/2+,7,130.141,0.018,9/2+,0,44.4,0.05,8.0,6.0,M1,,,,,,,0.015,,,,35.2,,1-May-2001,E. BROWNE,2024-04-27
23,88,135,Ra,9,174.58,0.04,11/2+,3,61.424,0.01,(7/2)+,1,113.11,0.05,100.0,,E2,,,,,280.0,,,,,,5.78,,1-May-2001,E. BROWNE,2024-04-27
24,88,135,Ra,10,234.858,0.019,5/2+,6,123.793,0.018,7/2-,0,111.05,0.03,0.18,0.04,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
25,88,135,Ra,10,234.858,0.019,5/2+,4,79.708,0.013,(5/2)-,1,155.5,0.5,0.1,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
26,88,135,Ra,10,234.858,0.019,5/2+,3,61.424,0.01,(7/2)+,2,173.45,0.03,3.9,0.6,M1 E2,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
27,88,135,Ra,10,234.858,0.019,5/2+,2,50.128,0.009,3/2-,3,184.65,0.05,8.0,0.9,E1,,,,,,,,,,,0.11,,1-May-2001,E. BROWNE,2024-04-27
28,88,135,Ra,10,234.858,0.019,5/2+,1,29.858,0.008,5/2+,4,204.98,0.1,36.0,6.0,M1+E2,-0.12,0.07,,,,,,,,,2.13,0.04,1-May-2001,E. BROWNE,2024-04-27
29,88,135,Ra,10,234.858,0.019,5/2+,0,0.0,,3/2+,5,234.76,0.1,100.0,12.0,M1(+E2),-0.07,0.02,,,,,,,,,1.47,,1-May-2001,E. BROWNE,2024-04-27
30,88,135,Ra,11,247.39,0.04,11/2-,8,174.569,0.024,9/2-,0,72.85,0.05,12.0,10.0,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
31,88,135,Ra,11,247.39,0.04,11/2-,7,130.141,0.018,9/2+,1,117.2,0.05,100.0,8.0,E1,,,,,,,,,,,0.332,,1-May-2001,E. BROWNE,2024-04-27
32,88,135,Ra,11,247.39,0.04,11/2-,6,123.793,0.018,7/2-,2,123.58,0.1,7.0,3.0,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
33,88,135,Ra,12,280.182,0.022,(7/2)+,8,174.569,0.024,9/2-,0,105.2,0.1,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
34,88,135,Ra,12,280.182,0.022,(7/2)+,7,130.141,0.018,9/2+,1,150.14,0.2,10.0,3.0,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
35,88,135,Ra,12,280.182,0.022,(7/2)+,5,104.6,0.13,,2,175.8,0.3,19.0,5.0,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
36,88,135,Ra,12,280.182,0.022,(7/2)+,4,79.708,0.013,(5/2)-,3,200.5,0.1,12.0,9.0,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
37,88,135,Ra,12,280.182,0.022,(7/2)+,3,61.424,0.01,(7/2)+,4,218.9,0.05,100.0,10.0,M1,,,,,,,,,,,1.79,,1-May-2001,E. BROWNE,2024-04-27
38,88,135,Ra,12,280.182,0.022,(7/2)+,1,29.858,0.008,5/2+,5,250.15,0.05,8.1,1.6,M1,,,,,,,,,,,1.23,,1-May-2001,E. BROWNE,2024-04-27
39,88,135,Ra,12,280.182,0.022,(7/2)+,0,0.0,,3/2+,6,280.7,0.5,6.3,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
40,88,135,Ra,13,286.087,0.014,1/2+,2,50.128,0.009,3/2-,0,235.96,0.02,100.0,2.0,E1,,,,,,,,,,,0.0615,,1-May-2001,E. BROWNE,2024-04-27
41,88,135,Ra,13,286.087,0.014,1/2+,1,29.858,0.008,5/2+,1,256.23,0.02,54.3,1.0,E2,,,,,,,,,,,0.253,,1-May-2001,E. BROWNE,2024-04-27
42,88,135,Ra,13,286.087,0.014,1/2+,0,0.0,,3/2+,2,286.09,0.2,13.5,1.2,M1+E2,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
43,88,135,Ra,14,315.99,0.06,(13/2-),8,174.569,0.024,9/2-,0,141.42,0.05,100.0,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
44,88,135,Ra,15,329.856,0.014,3/2-,13,286.087,0.014,1/2+,0,43.77,0.05,7.2,0.5,E1,,,0.00016,,,,,,,,1.014,,1-May-2001,E. BROWNE,2024-04-27
45,88,135,Ra,15,329.856,0.014,3/2-,10,234.858,0.019,5/2+,1,94.97,0.05,0.8,0.5,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
46,88,135,Ra,15,329.856,0.014,3/2-,6,123.793,0.018,7/2-,2,206.08,0.05,8.6,0.9,E2,,,,,1.65,,,,,,0.535,,1-May-2001,E. BROWNE,2024-04-27
47,88,135,Ra,15,329.856,0.014,3/2-,4,79.708,0.013,(5/2)-,3,250.27,0.08,15.4,1.4,M1+E2,-2.1,0.4,,,0.91,,4.1e-05,,,,0.45,0.05,1-May-2001,E. BROWNE,2024-04-27
48,88,135,Ra,15,329.856,0.014,3/2-,2,50.128,0.009,3/2-,4,279.8,0.05,1.8,0.5,M1+E2,0.12,0.11,,,0.0011,,1.8e-05,,,,0.9,0.03,1-May-2001,E. BROWNE,2024-04-27
49,88,135,Ra,15,329.856,0.014,3/2-,1,29.858,0.008,5/2+,5,299.98,0.03,75.0,2.2,E1,,,5.2e-06,,,,,,,,0.0354,,1-May-2001,E. BROWNE,2024-04-27
50,88,135,Ra,15,329.856,0.014,3/2-,0,0.0,,3/2+,6,329.85,0.02,100.0,6.0,(E1),,,5.2e-06,,,,,,,,0.0286,,1-May-2001,E. BROWNE,2024-04-27
51,88,135,Ra,16,334.37,0.012,5/2+,13,286.087,0.014,1/2+,0,48.3,0.03,1.1,0.5,E2,,,,,,,,,,,313.0,,1-May-2001,E. BROWNE,2024-04-27
52,88,135,Ra,16,334.37,0.012,5/2+,12,280.182,0.022,(7/2)+,1,54.19,0.04,0.52,0.11,(M1),,,,,,,,,,,19.7,,1-May-2001,E. BROWNE,2024-04-27
53,88,135,Ra,16,334.37,0.012,5/2+,10,234.858,0.019,5/2+,2,99.58,0.1,2.1,0.6,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
54,88,135,Ra,16,334.37,0.012,5/2+,7,130.141,0.018,9/2+,3,204.14,0.1,18.1,2.1,E2,,,,,,,,,,,0.553,,1-May-2001,E. BROWNE,2024-04-27
55,88,135,Ra,16,334.37,0.012,5/2+,6,123.793,0.018,7/2-,4,210.62,0.05,100.0,8.0,E1,,,,,,,,,,,0.0805,,1-May-2001,E. BROWNE,2024-04-27
56,88,135,Ra,16,334.37,0.012,5/2+,4,79.708,0.013,(5/2)-,5,254.63,0.03,57.0,11.0,E1,,,,,,,,,,,0.0515,,1-May-2001,E. BROWNE,2024-04-27
57,88,135,Ra,16,334.37,0.012,5/2+,3,61.424,0.01,(7/2)+,6,272.91,0.05,40.6,0.7,M1+E2,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
58,88,135,Ra,16,334.37,0.012,5/2+,2,50.128,0.009,3/2-,7,284.24,0.1,3.2,1.1,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
59,88,135,Ra,16,334.37,0.012,5/2+,1,29.858,0.008,5/2+,8,304.5,0.02,92.0,11.0,M1+E2(+E0),0.26,0.04,,,,,,,,,1.1,0.1,1-May-2001,E. BROWNE,2024-04-27
60,88,135,Ra,16,334.37,0.012,5/2+,0,0.0,,3/2+,9,334.37,0.02,91.0,7.0,M1+E2,-0.61,0.04,,,,,,,,,0.435,0.012,1-May-2001,E. BROWNE,2024-04-27
61,88,135,Ra,17,342.59,0.019,3/2+,13,286.087,0.014,1/2+,0,56.42,0.14,1.8,1.5,M1+E2,0.47,0.02,,,,,,,,,40.8,1.6,1-May-2001,E. BROWNE,2024-04-27
62,88,135,Ra,17,342.59,0.019,3/2+,10,234.858,0.019,5/2+,1,107.76,0.07,1.5,0.5,(M1),,,,,,,,,,,13.4,,1-May-2001,E. BROWNE,2024-04-27
63,88,135,Ra,17,342.59,0.019,3/2+,4,79.708,0.013,(5/2)-,2,262.87,0.05,20.8,1.5,E1,,,,,,,,,,,0.0479,,1-May-2001,E. BROWNE,2024-04-27
64,88,135,Ra,17,342.59,0.019,3/2+,3,61.424,0.01,(7/2)+,3,281.42,0.05,34.5,2.3,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
65,88,135,Ra,17,342.59,0.019,3/2+,2,50.128,0.009,3/2-,4,292.41,0.05,12.8,1.5,E1,,,,,,,,,,,0.0375,,1-May-2001,E. BROWNE,2024-04-27
66,88,135,Ra,17,342.59,0.019,3/2+,1,29.858,0.008,5/2+,5,312.69,0.03,100.0,8.0,M1+E2,0.16,0.03,,,,,,,,,0.654,0.006,1-May-2001,E. BROWNE,2024-04-27
67,88,135,Ra,17,342.59,0.019,3/2+,0,0.0,,3/2+,6,342.55,0.04,68.0,18.0,M1+E2,1.29,0.02,,,,,,,,,0.261,,1-May-2001,E. BROWNE,2024-04-27
