,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,11.801,,0.495666826983328,0.0161981120058429,AU,L,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
1,37.933,,0.0051856227064316,0.0006408146853499,AU,KLX,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
2,49.11,,0.015021930198,0.0018427719509707,AU,K,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
3,65.734,,0.0090975836954941,0.0011169618070267,AU,KLL,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
4,93.828,,0.0007387237960741,9.30797093406e-05,AU,KXY,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
5,142.582,,0.45469,0.0085895648900279,CE,K,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
6,194.296,,0.00045074,5.13449559353e-05,CE,K,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
7,222.931,,0.5002,0.0092623377178766,CE,L,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
8,236.503,,0.13284,0.0026128337107439,CE,M,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
9,239.89,,0.042476,0.0008040827071887,CE,N+,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
10,239.89,,0.034563,0.0006478628327045,CE,N,88,136,Ra,,0,,0+,3.6316,,23,d,313770.24,198.72,A,100,,5788.92,15,86,134,Rn,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
