,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,6.28,0.03,1.5e-06,1.5e-07,,6.28,,0.0,(M2),,,6680000.0,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
1,6.67,0.02,3.2e-05,3e-06,,6.67,,0.0,E2,,,1560000.0,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
2,12.75,0.05,0.304,0.0640000072199996,,33.07,,20.19,(E1(+M2)),,,100000.0,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
3,13.52,0.02,1.6,0.00016,,20.19,,6.67,E1,,,5.86,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
4,15.15,0.08,,,,,,,,,,,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
5,15.5,0.2,0.16,0.0320000039999997,,,,,(E1),,,4.07,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
6,16.2,0.1,0.72,0.0800000323999934,,,,,(E1),,,3.62,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
7,26.4,0.1,0.0149,0.0015,,33.07,,6.67,M1+E2,0.07,AP,201.0,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
8,30.6,0.1,,,,,,,,,,,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
9,15.349,,1.042608,,,,,,,,,,,88,140,Ra,,0,,0+,5.75,,3,Y,181452324.353904,946707.77923776,B-,100,,45.5,6,89,139,Ac,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
