,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,5744.0,15.0,9e-05,5e-05,,1094.2,270.0,150.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
1,5764.0,8.0,0.00092,0.0002,,1073.7,33.0,8.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
2,5900.0,15.0,0.0001,1e-09,,930.0,1426.0,142.6,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
3,5944.0,6.0,0.002,0.0003,,891.1,107.0,17.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
4,5958.0,15.0,0.00032,0.00011,,877.2,770.0,270.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
5,6000.0,6.0,0.0031,0.0005,,835.32,123.0,20.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
6,6100.0,8.0,0.0012,0.0002,,732.7,900.0,150.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
7,6124.0,8.0,0.00063,0.00013,,708.1,2200.0,500.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
8,6158.0,4.0,0.018,0.002,,676.66,105.0,12.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
9,6223.0,6.0,0.0043,0.0011,,608.3,850.0,220.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
10,6311.0,3.0,0.051,0.004,,517.6,172.0,14.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
11,6425.0,1.0,7.5,0.6,6.6e-11,401.812,3.4,0.3,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
12,6530.0,2.0,0.11,0.01,,293.56,630.0,58.0,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
13,6552.6,1.0,12.9,0.6,1.95e-10,271.228,6.6,0.4,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
14,6819.1,0.3,79.4,1.0,0.001781,0.0,11.1,0.2,86,133,Rn,,0,,5/2+,3.96,,1,s,3.96,0.01,A,100,,6946.2,3,84,131,Po,23-SEP-2013,J.K. Tuli and  B. Singh and  S. Bhattacharya and  S. Dasgupta and  J.Y. Lee,2024-04-27
