,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,86,133,Rn,1,4.413,0.012,(9/2)+,0,0.0,,5/2+,0,4.413,0.012,,,(E2),,,,,116.0,,,,,,2410000.0,50000.0,19-May-2021,Balraj Singh et al. and ,2024-04-27
1,86,133,Rn,2,14.4,0.01,(7/2)+,1,4.413,0.012,(9/2)+,0,9.987,0.016,85.0,9.0,M1+E2,0.048,0.004,,,130.0,,0.017,,,,920.0,70.0,19-May-2021,Balraj Singh et al. and ,2024-04-27
2,86,133,Rn,2,14.4,0.01,(7/2)+,0,0.0,,5/2+,1,14.4,0.01,100.0,9.0,M1+E2,0.112,0.004,,,127.0,,0.0064,,,,511.0,25.0,19-May-2021,Balraj Singh et al. and ,2024-04-27
3,86,133,Rn,3,126.726,0.015,(11/2)+,1,4.413,0.012,(9/2)+,0,122.319,0.01,100.0,,M1+E2,0.132,0.014,,,1.3,,0.00353,,,,7.34,,19-May-2021,Balraj Singh et al. and ,2024-04-27
4,86,133,Rn,4,158.631,0.008,(7/2)+,3,126.726,0.015,(11/2)+,0,31.98,0.03,0.0018,0.0004,(E2),,,,,10.6,,,,,,1980.0,,19-May-2021,Balraj Singh et al. and ,2024-04-27
5,86,133,Rn,4,158.631,0.008,(7/2)+,2,14.4,0.01,(7/2)+,1,144.235,0.01,57.7,0.3,M1+E2,-0.121,0.017,,,2.6,,0.0115,,,,4.59,,19-May-2021,Balraj Singh et al. and ,2024-04-27
6,86,133,Rn,4,158.631,0.008,(7/2)+,1,4.413,0.012,(9/2)+,2,154.208,0.01,100.0,,M1,,,,,,,0.0165,,,,3.83,,19-May-2021,Balraj Singh et al. and ,2024-04-27
7,86,133,Rn,4,158.631,0.008,(7/2)+,0,0.0,,5/2+,3,158.635,0.01,12.26,0.06,M1+E2,-0.2,0.03,,,0.9,,0.00179,,,,3.45,0.06,19-May-2021,Balraj Singh et al. and ,2024-04-27
8,86,133,Rn,5,269.475,0.008,3/2+,4,158.631,0.008,(7/2)+,0,110.856,0.01,0.393,0.01,E2,,,,,65.0,,,,,,5.36,,19-May-2021,Balraj Singh et al. and ,2024-04-27
9,86,133,Rn,5,269.475,0.008,3/2+,2,14.4,0.01,(7/2)+,1,255.2,0.2,0.376,0.01,[E2],,,,,0.96,,,,,,0.229,,19-May-2021,Balraj Singh et al. and ,2024-04-27
