,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,86,134,Rn,0,,0.0,,,0+,1,55.6,,1.0,s,55.6,0.1,A,100.0,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
1,86,134,Rn,1,,240.986,0.006,,2+,1,0.146,,5.0,ns,1.46e-10,5e-12,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
2,86,134,Rn,2,,533.68,0.1,,4+,1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
3,86,134,Rn,3,,645.44,0.09,,1-,1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
4,86,134,Rn,4,,663.03,0.1,,(3-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
5,86,134,Rn,5,,851.9,0.4,,(5-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
6,86,134,Rn,6,,873.88,0.22,,(6+),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
7,86,134,Rn,7,,1128.2,0.4,,(7-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
8,86,134,Rn,8,,1244.3,0.3,,(8+),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
9,86,134,Rn,9,,1462.1,0.5,,(9-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
10,86,134,Rn,10,,1631.1,0.4,,(10+),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
11,86,134,Rn,11,,1834.0,0.7,,(11-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
12,86,134,Rn,12,,2033.9,0.7,,(12+),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
13,86,134,Rn,13,,2227.1,0.9,,(13-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
14,86,134,Rn,14,,2452.7,0.8,,(14+),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
15,86,134,Rn,15,,2638.3,1.0,,(15-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
16,86,134,Rn,16,,2887.0,1.0,,(16+),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
17,86,134,Rn,17,,3068.6,1.1,,(17-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
18,86,134,Rn,18,,3325.3,1.1,,(18+),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
19,86,134,Rn,19,,3509.8,1.2,,(19-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
20,86,134,Rn,20,,3763.9,1.2,,(20+),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
21,86,134,Rn,21,,3961.5,1.3,,(21-),1,,,,,,,,,,,,,,,,,,,,,31-Oct-2010,E. BROWNE and  J. K. TULI,2024-04-27
