,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,11.178,,0.4139744265,0.1017226148878839,AU,L,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,A,22,1,6163,3,84,133,Po,1-DEC-2017,B. SINGH and  T. ROY and  K. BANERJEE,2024-04-27
1,12.12,,30.03232520073408,,AU,L,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
2,36.004,,0.0067681715850319,0.0025987341057358,AU,KLX,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,A,22,1,6163,3,84,133,Po,1-DEC-2017,B. SINGH and  T. ROY and  K. BANERJEE,2024-04-27
3,38.921,,0.3256478010314851,,AU,KLX,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
4,46.478,,0.0197225,0.0075669055301688,AU,K,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,A,22,1,6163,3,84,133,Po,1-DEC-2017,B. SINGH and  T. ROY and  K. BANERJEE,2024-04-27
5,50.461,,0.939726511548,,AU,K,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
6,62.353,,0.01200030422878,0.0046045394315564,AU,KLL,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,A,22,1,6163,3,84,133,Po,1-DEC-2017,B. SINGH and  T. ROY and  K. BANERJEE,2024-04-27
7,67.465,,0.5673306638179184,,AU,KLL,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
8,88.87,,0.000954024186188,0.000367011671104,AU,KXY,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,A,22,1,6163,3,84,133,Po,1-DEC-2017,B. SINGH and  T. ROY and  K. BANERJEE,2024-04-27
9,96.374,,0.0467480466985964,,AU,KXY,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
10,2.17,,0.26,0.2706011825546962,CE,K,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
11,7.31,,16.488,1.416141235894217,CE,K,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
12,10.43,,0.64578,0.0432804297575705,CE,K,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
13,12.87,,2.65655,0.0622888144051562,CE,K,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
14,18.77,,0.092582,0.0022796254078247,CE,K,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
