,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,10.7,0.2,,,,36.68,,26.02,,,,,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
1,26.0,0.1,,,,26.02,294.0,0.0,(E2),,,5940.0,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
2,36.7,0.1,,,,36.68,294.0,0.0,E2(+M1),,,600.0,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
3,38.53,0.03,0.01027,0.00019,,38.531,294.0,0.0,E2,,,859.0,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
4,46.2,,0.0335,0.0006,,145.9,,99.63,,,,,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
5,49.04,0.15,0.076,0.011,,150.08,,100.93,(E1),,,0.718,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
6,57.73,0.15,0.022,0.008,,253.53,,195.788,(E1),,,0.464,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
7,62.95,0.03,0.151,0.022,,99.63,,36.68,M1,,,10.84,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
8,64.24,0.1,0.281,0.022,,100.93,,36.68,M1+E2,0.51,10,23.0,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
9,69.79,0.1,0.043,0.011,,108.387,,38.531,E2,,,48.2,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
10,71.67,0.1,0.128,0.013,,108.387,,36.68,E2,,,42.4,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
11,73.5,0.1,0.0034,0.001,,99.63,,26.02,E2+M1,,,22.0,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
12,73.86,0.02,0.56,0.03,,99.88,,26.02,E1,,,0.24,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
13,74.9,0.2,0.162,0.003,,100.93,,26.02,(M1+E2),0.5,AP,12.09,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
14,78.8,,0.0335,0.0006,,224.67,,145.9,M1,,,5.63,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
15,87.41,0.03,0.195,0.004,,195.788,,108.387,M1,,,4.16,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
16,94.9,0.05,0.062,0.014,,195.788,,100.93,M1,,,3.28,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
17,96.15,0.05,0.021,0.005,,195.788,,99.63,M1+E2,0.8,3,6.0,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
18,99.63,0.05,0.25,0.04,,99.63,294.0,0.0,M1+E2,0.19,4,3.06,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
19,99.91,0.05,1.5,0.5,,99.88,294.0,0.0,E1,,,0.1073,,86,135,Rn,,0,,7/2+,25,,2,m,1500,120,B-,78,1,1194,7,87,134,Fr,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2024-04-27
