,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,5033.5,4.0,0.00031,2e-05,,1025.0,30.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
1,5056.1,4.0,0.00023,2e-05,,999.85,58.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
2,5083.5,4.0,0.00015,1.5e-05,,971.31,133.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
3,5110.5,4.0,0.00028,2e-05,,943.1,106.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
4,5128.7,3.0,0.00062,5e-05,,926.48,60.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
5,5146.5,2.0,0.0041,8e-05,,908.03,12.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
6,5171.0,3.0,0.0017,0.00017,,884.2,39.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
7,5180.6,4.0,0.0012,0.00024,,879.41,60.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
8,5193.7,2.5,0.0038,0.00027,,859.07,25.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
9,5210.2,2.0,0.007,0.0003,,842.05,17.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
10,5229.2,2.0,0.0098,0.0003,,823.03,16.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
11,5248.3,2.0,0.0032,0.00016,,803.44,61.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
12,5264.3,2.0,0.0026,0.0002,,786.9,94.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
13,5321.8,4.0,0.00024,0.0001,,729.0,2190.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
14,5335.9,5.0,0.0002,0.0001,,712.7,3240.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
15,5365.0,2.5,0.00066,3e-05,,685.0,1410.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
16,5408.7,3.0,0.00044,7e-05,,641.0,3700.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
17,5458.6,2.0,0.0027,5e-05,,590.3,1140.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
18,5480.4,2.2,0.0012,0.0001,,568.0,3400.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
19,5509.9,2.0,0.0166,0.0003,,537.16,362.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
20,5531.7,1.8,0.021,0.002,,514.25,377.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
21,5585.9,1.6,0.176,0.006,,459.93,87.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
22,5600.6,1.8,0.17,0.017,,445.071,108.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
23,5613.3,1.6,0.216,0.008,,432.24,99.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
24,5622.0,1.7,0.007,0.0004,,424.12,3380.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
25,5640.2,1.5,0.0179,0.0015,,405.07,1660.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
26,5668.0,1.5,2.06,0.12,3e-11,376.296,20.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
27,5674.3,1.6,0.0572,0.0035,2e-10,369.36,791.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
28,5693.0,1.6,1.5,0.1,,350.53,38.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
29,5700.8,1.6,3.63,0.2,5e-11,342.59,17.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
30,5708.8,1.6,8.3,0.3,2.8e-10,334.37,8.2,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
31,5713.2,1.6,4.89,0.2,4.2e-10,329.856,15.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
32,5728.1,1.6,0.0342,0.0025,,315.99,2490.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
33,5756.87,0.15,20.4,0.9,7.7e-10,286.087,5.9,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
34,5762.3,1.5,0.228,0.01,7.5e-11,280.182,561.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
35,5795.5,1.5,0.311,0.005,1.5e-10,247.39,599.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
36,5807.5,1.5,1.27,0.02,,234.858,169.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
37,5866.6,,2.42,0.1,2e-10,174.569,175.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
38,5909.9,1.5,0.174,0.008,3e-10,130.141,4000.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
39,5916.0,1.5,0.775,0.03,4.5e-10,123.793,963.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
40,5959.7,1.5,3.0,0.15,2.4e-10,79.708,404.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
41,5977.72,0.1,23.5,0.9,6e-10,61.424,63.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
42,5989.4,2.0,0.002,0.003,6.3e-10,50.128,835000.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
43,6008.8,1.5,2.9,0.15,,29.858,717.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
44,6038.01,0.15,24.2,0.9,987552.0,0.0,118.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
