,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,6.5,0.3,0.0903,0.0269245241369276,3e-10,130.141,4.5e-10,123.793,[E1],,,41.2,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
1,8.15,0.2,0.00774,0.0026630809225406,,350.53,5e-11,342.59,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
2,20.25,0.05,0.23736,0.03279173066491,6.3e-10,50.128,,29.858,[E1],,,7.73,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
3,20.94,0.05,0.00258,0.0064537508473755,,445.071,,424.12,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
4,22.0,0.2,0.00903,0.009062769995978,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
5,24.13,0.05,0.08772,0.0098768871614491,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
6,27.41,0.09,0.02967,0.0057468687126121,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
7,29.6,0.03,0.00516,0.0004400302553234,2.4e-10,79.708,6.3e-10,50.128,[M1+E2],1.3,AP,2078.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
8,29.86,0.01,0.07611,0.0121910828067075,,29.858,987552.0,0.0,M1+E2,0.41,10,540.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
9,31.58,0.01,0.06837,0.011852902598098,6e-10,61.424,,29.858,M1+E2,0.28,6,272.0,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
10,33.39,0.08,0.00774,0.0026630809225406,3e-11,376.296,1e-10,342.654,[E1],,,2.09,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
11,40.2,0.03,0.01548,0.0040889240638583,,445.071,,405.07,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
12,41.93,0.05,0.02838,0.0131250295237763,3e-11,376.296,2.8e-10,334.37,[E1],,,1.12,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
13,43.77,0.05,0.21285,0.0222672966477747,4.2e-10,329.856,7.7e-10,286.087,E1,,,1.014,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
