,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,12.443,,10.213088600389408,,AU,L,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
1,39.928,,0.0007063648144328,,AU,KLX,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
2,51.843,,0.0020304933203808,,AU,K,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
3,69.234,,0.0012220844540359,,AU,KLL,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
4,98.976,,0.000102044051912,,AU,KXY,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
5,27.693,,0.024660504,0.0008735298703261,CE,K,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
6,38.08,,3.65904e-07,1.335697777e-07,CE,K,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
7,55.163,,0.011094732,0.0040516684545727,CE,L,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
8,62.49,,0.02269377,0.0008291474232439,CE,K,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
9,65.136,,18.49716,0.6604099753825601,CE,L,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
