,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,90,138,Th,1,57.773,0.003,2+,0,0.0,,0+,0,57.766,0.005,100.0,,E2,,,,,167.0,,,,,,153.0,2.0,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
1,90,138,Th,2,186.838,0.003,4+,1,57.773,0.003,2+,0,129.065,0.001,100.0,,E2,,,,,242.0,,,,,,3.74,0.06,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
2,90,138,Th,3,328.019,0.003,1-,1,57.773,0.003,2+,0,270.245,0.002,100.0,1.6,E1,,,,,,,,,,,0.047,0.0007,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
3,90,138,Th,3,328.019,0.003,1-,0,0.0,,0+,1,328.022,0.003,88.3,0.7,E1,,,,,,,,,,,0.0305,0.0005,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
4,90,138,Th,4,378.195,0.012,6+,2,186.838,0.003,4+,0,191.349,0.017,100.0,8.0,E2,,,,,,,,,,,0.776,0.011,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
5,90,138,Th,5,396.094,0.004,3-,3,328.019,0.003,1-,0,68.08,,0.05,,[E2],,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
6,90,138,Th,5,396.094,0.004,3-,2,186.838,0.003,4+,1,209.253,0.006,34.2,0.6,E1,,,,,,,,,,,0.0848,0.0012,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
7,90,138,Th,5,396.094,0.004,3-,1,57.773,0.003,2+,2,338.32,0.003,100.0,1.7,E1,,,,,,,,,,,0.0285,0.0004,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
8,90,138,Th,6,519.208,0.005,5-,4,378.195,0.012,6+,0,141.01,0.02,9.9,0.06,E1,,,,,,,,,,,0.217,0.003,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
9,90,138,Th,6,519.208,0.005,5-,2,186.838,0.003,4+,1,332.37,0.004,100.0,5.0,E1,,,,,,,,,,,0.0297,0.0005,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
10,90,138,Th,7,622.5,0.3,8+,4,378.195,0.012,6+,0,244.3,1.0,100.0,,E2,,,,,,,,,,,0.326,0.005,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
11,90,138,Th,8,695.45,0.15,7-,4,378.195,0.012,6+,0,317.2,0.2,,,[E1],,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
12,90,138,Th,9,831.842,0.01,0+,3,328.019,0.003,1-,0,503.823,0.013,100.0,5.0,(E1),,,,,,,,,,,0.0124,0.0002,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
13,90,138,Th,9,831.842,0.01,0+,1,57.773,0.003,2+,1,774.05,0.14,32.0,5.0,,,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
14,90,138,Th,9,831.842,0.01,0+,0,0.0,,0+,2,831.0,,0.5,,E0,,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
15,90,138,Th,10,874.535,0.016,2+,5,396.094,0.004,3-,0,478.4,0.06,100.0,5.0,E1,,,,,,,,,,,0.0138,0.0002,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
16,90,138,Th,10,874.535,0.016,2+,3,328.019,0.003,1-,1,546.45,0.02,90.0,4.0,[E1],,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
17,90,138,Th,10,874.535,0.016,2+,2,186.838,0.003,4+,2,688.1,0.05,25.0,8.0,[E2],,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
18,90,138,Th,10,874.535,0.016,2+,1,57.773,0.003,2+,3,816.62,0.1,12.3,2.0,[M1+E2],,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
19,90,138,Th,10,874.535,0.016,2+,0,0.0,,0+,4,874.45,0.06,23.0,3.0,[E2],,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
20,90,138,Th,11,911.8,0.3,(10+),7,622.5,0.3,8+,0,289.3,0.2,100.0,,,,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
21,90,138,Th,12,920.77,0.22,9-,8,695.45,0.15,7-,0,225.23,0.26,24.6,1.5,,,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
22,90,138,Th,12,920.77,0.22,9-,7,622.5,0.3,8+,1,298.3,2.6,100.0,7.0,,,,,,,,,,,,,,31-Dec-2012,KHALIFEH ABUSALEEM,2024-04-27
