,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,90,140,Th,0,,0.0,,,0+,1.0,75400.0,,3.0,Y,2379392218484.237,9467077792.3776,A,100.0,,24NE,5.8e-11,1.3e-11,SF,4e-12,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
1,90,140,Th,1,,53.227,0.011,,2+,1.0,0.354,,9.0,ns,3.54e-10,9e-12,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
2,90,140,Th,2,,174.111,0.017,,4+,1.0,0.166,,5.0,ns,1.66e-10,5e-12,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
3,90,140,Th,3,,356.47,0.14,,6+,1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
4,90,140,Th,4,,508.15,0.013,,1-,1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
5,90,140,Th,5,,571.756,0.015,,3-,1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
6,90,140,Th,6,,593.79,0.2,,8+,1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
7,90,140,Th,7,,634.919,0.018,,0+,2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
8,90,140,Th,8,,677.515,0.018,,2+,2.0,15.0,,2.0,ps,1.5e-11,2e-12,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
9,90,140,Th,9,,686.6,0.3,,(5-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
10,90,140,Th,10,,769.6,0.6,,(4+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
11,90,140,Th,11,,775.5,0.3,,(4+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
12,90,140,Th,12,,781.375,0.013,,2+,3.0,3.3,,5.0,ps,3.3e-12,5e-13,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
13,90,140,Th,13,,825.664,0.021,,3+,1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
14,90,140,Th,14,,852.14,0.21,,(7-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
15,90,140,Th,15,,879.3,0.3,,(10+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
16,90,140,Th,16,,883.6,0.6,,4+,2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
17,90,140,Th,17,,922.95,0.2,,(6+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
18,90,140,Th,18,,951.898,0.014,,1-,2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
19,90,140,Th,19,,955.04,0.23,,(5+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
