,mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me.1,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,10.03,0.41,0.0033,0.0002,,351.86,39.6,1.5,7.31,0.06,1NU,29.3,1.1,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
1,18.29,0.4,0.067,0.002,,320.211,71.3,1.5,6.78,0.03,1NU,52.7,1.1,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
2,18.89,0.4,0.00088,7e-05,7e-11,317.95,73.5,1.5,8.7,0.05,A,54.4,1.1,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
3,38.05,0.42,2.9,0.5,,247.32,144.2,1.5,6.1,0.1,A,105.8,1.1,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
4,46.2,0.44,0.34,0.24,,218.244,173.3,1.5,7.3,0.3,1NU,126.8,1.2,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
5,56.12,0.44,11.4,0.6,1.9e-10,183.4955,208.0,1.5,6.0,0.3,A,151.7,1.2,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
6,58.82,0.44,1.35,0.24,,174.16,217.3,1.5,7.0,0.1,1NU,158.3,1.1,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
7,80.08,0.46,14.0,8.0,7e-10,102.2685,289.2,1.5,6.3,0.3,A,208.7,1.5,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
8,80.34,0.46,42.0,16.0,7e-10,101.408,290.1,1.5,5.9,0.2,A,209.6,1.2,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
9,85.54,0.46,25.0,18.0,4.51e-08,84.2153,305.0,2.0,6.2,0.4,A,221.3,1.5,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
10,87.52,0.46,0.53,0.08,,77.694,313.8,1.5,7.9,0.1,1NU,226.2,1.1,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
11,93.37,0.47,0.33,,2.74e-10,58.57,332.9,1.5,8.2,,1NU,239.6,1.5,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
12,111.6,0.48,0.022,,1027809078992.4614,0.0,391.5,1.5,9.6,,1NU,279.5,1.4,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
13,115.13,0.46,0.022,,,9.21,382.3,1.5,9.4,,1U,268.5,1.1,90,141,Th,,0,,5/2+,25.57,,8,h,92052,288,B-,100,,391.5,15,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27
