,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,88.5,0.5,0.1032,0.0001032,,1710.6,1.01e-08,1621.88,[M1],,,12.12,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
1,216.4,0.1,73.96,3.44,1.01e-08,1621.88,7.8e-08,1405.53,[E2],,,0.312,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
2,247.2,0.1,8.428,1.806,,2326.3,,2079.1,[M1],,,0.667,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
3,265.7,0.1,86.0,0.0,,265.7,252.12,0.0,E2,,,0.1605,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
4,304.9,0.2,1.29,0.688,,1710.6,7.8e-08,1405.53,[M1],,,0.375,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
5,316.8,0.2,0.774,0.258,224.4,2643.3,,2326.3,[M4],,,13.63,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
6,363.3,0.5,0.00013,0.00013,,1166.4,,803.05,[E2],,,0.066,,81,125,Tl,,0.0,,0-,4.202,,11,m,252.12,0.66,B-,100,,1532.2,6.0,82,124,Pb,31-Jan-2008,F.G. KONDEV,2024-04-27
7,368.2,0.2,1.032,0.774,,2079.1,,1710.6,[E2],,,0.0617,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
8,453.3,0.2,92.88,5.16,7.8e-08,1405.53,,952.22,[E1],,,0.01136,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
9,457.2,0.5,22.36,2.58,,2079.1,1.01e-08,1621.88,[M1],,,0.1261,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
10,535.5,0.2,1.376,0.946,,801.22,,265.7,[M1],,,0.083,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
11,564.2,0.1,5.504,0.946,224.4,2643.3,,2079.1,M4,,,1.164,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
12,604.3,0.2,1.032,0.688,7.8e-08,1405.53,,801.22,[M2],,,0.1663,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
13,616.3,0.2,0.516,0.00516,,2326.3,,1710.6,[E2],,,0.01732,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
14,686.5,0.2,91.16,5.16,,952.22,,265.7,[E2],,,0.01367,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
15,704.6,0.3,1.462,0.946,,2326.3,1.01e-08,1621.88,[M1],,,0.0405,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
16,803.06,0.03,0.005,0.0005,,803.049,,0.0,E2,,,0.0103,,81,125,Tl,,0.0,,0-,4.202,,11,m,252.12,0.66,B-,100,,1532.2,6.0,82,124,Pb,31-Jan-2008,F.G. KONDEV,2024-04-27
17,1021.5,0.2,68.8,6.0200000000000005,224.4,2643.3,1.01e-08,1621.88,[E5],,,0.0617,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
18,1139.9,0.3,5.934,1.978,7.8e-08,1405.53,,265.7,[E3],,,0.01089,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
19,1166.4,0.5,,,,1166.4,,0.0,E0,,,,,81,125,Tl,,0.0,,0-,4.202,,11,m,252.12,0.66,B-,100,,1532.2,6.0,82,124,Pb,31-Jan-2008,F.G. KONDEV,2024-04-27
20,12.148,,20.44756398002536,,,,,,,,,,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
21,12.522,,1.8229784784e-05,2.4529346075e-06,,,,,,,,,,81,125,Tl,,0.0,,0-,4.202,,11,m,252.12,0.66,B-,100,,1532.2,6.0,82,124,Pb,31-Jan-2008,F.G. KONDEV,2024-04-27
22,70.832,,11.360994902328152,,,,,,,,,,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
23,72.805,,1.27898926522e-05,1.9395544337e-06,,,,,,,,,,81,125,Tl,,0.0,,0-,4.202,,11,m,252.12,0.66,B-,100,,1532.2,6.0,82,124,Pb,31-Jan-2008,F.G. KONDEV,2024-04-27
24,72.874,,19.17791171898743,,,,,,,,,,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
25,74.97,,2.14956179028e-05,3.2585038985e-06,,,,,,,,,,81,125,Tl,,0.0,,0-,4.202,,11,m,252.12,0.66,B-,100,,1532.2,6.0,82,124,Pb,31-Jan-2008,F.G. KONDEV,2024-04-27
26,82.629,,6.52218745883147,,,,,,,,,,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
27,83.631,,8.459277134104417,,,,,,,,,,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
28,84.866,,1.9370896752729465,,,,,,,,,,,81,125,Tl,,2643.1,0.18,(12-),3.74,,3,m,224.4,1.8,IT,100,,,,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-04-27
29,84.986,,7.3468951189e-06,1.118976478e-06,,,,,,,,,,81,125,Tl,,0.0,,0-,4.202,,11,m,252.12,0.66,B-,100,,1532.2,6.0,82,124,Pb,31-Jan-2008,F.G. KONDEV,2024-04-27
30,86.022,,9.5656574448e-06,1.456444189e-06,,,,,,,,,,81,125,Tl,,0.0,,0-,4.202,,11,m,252.12,0.66,B-,100,,1532.2,6.0,82,124,Pb,31-Jan-2008,F.G. KONDEV,2024-04-27
31,87.301,,2.2187623259e-06,3.399216268e-07,,,,,,,,,,81,125,Tl,,0.0,,0-,4.202,,11,m,252.12,0.66,B-,100,,1532.2,6.0,82,124,Pb,31-Jan-2008,F.G. KONDEV,2024-04-27
