,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,81,125,Tl,1,265.832,0.005,2-,0,0.0,,0-,0,265.832,0.005,100.0,,E2,,,,,2.22,,,,,,0.1602,,31-Jan-2008,F.G. KONDEV,2024-04-27
1,81,125,Tl,2,304.896,0.006,1-,0,0.0,,0-,0,304.896,0.006,100.0,,M1,,,,,,,0.13,,,,0.375,,31-Jan-2008,F.G. KONDEV,2024-04-27
2,81,125,Tl,3,635.02,0.05,2-,2,304.896,0.006,1-,0,330.13,0.06,100.0,22.0,M1,,,,,,,0.07,,,,0.302,,31-Jan-2008,F.G. KONDEV,2024-04-27
3,81,125,Tl,3,635.02,0.05,2-,1,265.832,0.005,2-,1,369.18,0.07,61.0,13.0,M1,,,,,,,0.032,,,,0.223,,31-Jan-2008,F.G. KONDEV,2024-04-27
4,81,125,Tl,3,635.02,0.05,2-,0,0.0,,0-,2,634.3,0.7,1.4,,[E2],,,,,0.13,,,,,,0.01624,,31-Jan-2008,F.G. KONDEV,2024-04-27
5,81,125,Tl,4,649.42,0.05,1-,2,304.896,0.006,1-,0,344.52,0.17,25.0,5.0,M1,,,,,,,,,,,0.269,,31-Jan-2008,F.G. KONDEV,2024-04-27
6,81,125,Tl,4,649.42,0.05,1-,1,265.832,0.005,2-,1,384.0,1.0,0.16,,[M1],,,,,,,,,,,0.201,0.004,31-Jan-2008,F.G. KONDEV,2024-04-27
7,81,125,Tl,4,649.42,0.05,1-,0,0.0,,0-,2,649.42,0.05,100.0,14.0,M1,,,,,,,,,,,0.0501,,31-Jan-2008,F.G. KONDEV,2024-04-27
8,81,125,Tl,5,801.36,0.04,(3)-,1,265.832,0.005,2-,0,535.53,0.04,100.0,,[M1],,,,,,,0.055,,,,0.083,,31-Jan-2008,F.G. KONDEV,2024-04-27
9,81,125,Tl,6,939.91,0.05,,3,635.02,0.05,2-,0,304.896,0.006,100.0,,,,,,,,,,,,,,,31-Jan-2008,F.G. KONDEV,2024-04-27
