,mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me.1,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,154.43,0.59,0.052,0.005,,4480.5,518.5,1.7,6.67,0.05,1NU,364.1,1.1,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
1,187.88,0.61,0.017,0.005,,4382.9,616.1,1.7,7.4,0.2,1NU,428.2,1.8,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
2,196.43,0.6,0.044,0.005,,4358.44,640.6,1.7,7.05,0.05,1NU,444.6,1.6,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
3,208.79,0.62,0.005,0.002,,4323.4,675.6,1.7,8.1,0.2,A,467.2,1.3,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
4,218.44,0.62,0.101,0.021,,4296.28,702.7,1.7,6.83,0.09,1NU,484.0,1.7,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
5,230.73,0.67,0.002,0.001,,4262.0,737.0,1.8,8.6,0.2,1NU,506.7,1.6,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
6,260.44,0.63,0.227,0.009,,4180.38,818.6,1.7,6.7,0.02,1NU,557.8,1.6,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
7,280.78,0.64,0.175,0.023,,4125.28,873.7,1.7,6.92,0.06,1NU,593.3,1.1,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
8,329.64,0.68,0.007,0.003,,3995.6,1003.4,1.8,8.5,0.2,1NU,674.4,1.3,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
9,342.9,0.66,3.18,0.06,1.8e-11,3960.93,1038.1,1.7,5.92,0.01,1NU,694.9,1.9,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
10,348.43,0.66,0.046,0.003,,3946.42,1052.6,1.7,7.78,0.03,1NU,704.7,1.2,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
11,358.7,0.66,0.63,0.05,,3919.78,1079.2,1.7,6.68,0.04,1NU,720.7,2.0,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
12,441.53,0.68,24.2,0.3,1e-10,3708.41,1290.6,1.7,5.38,0.01,1NU,849.7,1.2,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
13,535.39,0.7,22.2,0.5,4e-12,3475.088,1523.9,1.7,5.68,0.01,1NU,989.1,1.0,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
14,649.48,0.71,49.1,0.7,2.94e-10,3197.717,1801.3,1.7,5.61,0.01,1NU,1152.0,1.1,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
