,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,10.572,,4.54,0.13,AU,L,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
1,34.144,,0.092,0.01,AU,KLX,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
2,43.948,,0.27,0.03,AU,K,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
3,59.103,,0.165,0.018,AU,KLL,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
4,84.096,,0.0128,0.0015,AU,KXY,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
5,123.389,,0.16596,0.009659337451399,CE,K,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
6,145.349,,0.16957,,CE,K,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
7,164.599,,0.3978,0.0255264568634191,CE,K,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
8,189.36,,2.8776,0.138719429064569,CE,K,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
9,195.533,,0.028548,0.0016391436788762,CE,L,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
10,207.543,,0.006696,0.0003873602973976,CE,M,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
11,210.501,,0.0020754,0.0001192914498193,CE,N+,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
12,210.501,,0.001701,9.78023005864e-05,CE,N,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
13,211.247,,0.0003384,1.95601635984e-05,CE,O,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
14,217.493,,0.035805,,CE,L,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
15,229.503,,0.008587,,CE,M,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
16,232.461,,0.0026474,,CE,N+,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
17,232.461,,0.0021824,,CE,N,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
18,233.207,,0.00042563,,CE,O,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
19,236.743,,0.073398,0.0023954640469019,CE,L,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
20,248.753,,0.017316,0.0005426601146205,CE,M,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
21,251.711,,0.004407,0.0001373062270984,CE,N,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
22,251.711,,0.0053664,0.0001709260658881,CE,N+,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
23,252.457,,0.00087126,2.81698633294e-05,CE,O,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
24,261.504,,0.4917,0.0234995765919303,CE,L,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
25,273.514,,0.115104,0.0054860116660466,CE,M,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
26,276.472,,0.029238,0.0014070127931188,CE,N,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
27,276.472,,0.035706,0.0017067258127772,CE,N+,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
28,277.218,,0.0058344,0.0002787340668092,CE,O,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
29,422.759,,1.90292,0.0338639926765879,CE,K,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
30,494.903,,0.320694,0.0055298065065606,CE,L,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
31,495.176,,1.28435,0.019241571895248,CE,K,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
32,506.913,,0.075032,0.0013106471683866,CE,M,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
33,509.871,,0.0190292,0.0003386399267658,CE,N,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
34,509.871,,0.0232554,0.0003965786681101,CE,N+,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
35,510.617,,0.0037968,6.5735911038e-05,CE,O,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
36,567.32,,0.34935,0.0052469313889167,CE,L,81,127,Tl,,0,,5+,3.053,,4,m,183.18,0.24,B-,100,,4998.4,17,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
