,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,92,141,U,1,40.351,0.007,7/2+,0,0.0,,5/2+,0,40.351,0.01,100.0,,M1+E2,0.93,0.11,,,500.0,,0.0032,,,,510.0,60.0,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
1,92,141,U,2,92.15,0.04,9/2+,1,40.351,0.007,7/2+,0,51.5,0.5,21.0,2.1,[M1+E2],,,,,,,,,,,170.0,150.0,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
2,92,141,U,2,92.15,0.04,9/2+,0,0.0,,5/2+,1,92.1,0.5,100.0,,[E2],,,,,,,,,,,19.6,0.6,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
3,92,141,U,3,155.23,0.08,11/2+,2,92.15,0.04,9/2+,0,63.4,0.2,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
4,92,141,U,3,155.23,0.08,11/2+,1,40.351,0.007,7/2+,1,114.92,0.1,,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
5,92,141,U,6,229.46,0.09,(13/2+),3,155.23,0.08,11/2+,0,74.5,0.2,23.0,9.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
6,92,141,U,6,229.46,0.09,(13/2+),2,92.15,0.04,9/2+,1,137.2,0.1,100.0,9.0,(E2),,,,,,,,,,,3.34,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
7,92,141,U,7,298.815,0.01,(5/2-),1,40.351,0.007,7/2+,0,258.45,0.03,22.3,1.7,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
8,92,141,U,7,298.815,0.01,(5/2-),0,0.0,,5/2+,1,298.81,0.02,100.0,2.5,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
9,92,141,U,8,301.94,0.09,(5/2-),1,40.351,0.007,7/2+,0,261.4,0.2,100.0,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
10,92,141,U,8,301.94,0.09,(5/2-),0,0.0,,5/2+,1,301.99,0.1,67.0,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
11,92,141,U,9,311.906,0.006,3/2+,1,40.351,0.007,7/2+,0,271.556,0.01,0.84,0.01,E2,,,,,0.174,,,,,,0.258,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
12,92,141,U,9,311.906,0.006,3/2+,0,0.0,,5/2+,1,311.901,0.011,100.0,1.0,M1+E2,-0.1,0.01,,,0.103,,0.0033,,,,0.8,0.03,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
13,92,141,U,10,314.59,0.1,(15/2+),6,229.46,0.09,(13/2+),0,85.1,0.1,27.0,10.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
14,92,141,U,10,314.59,0.1,(15/2+),3,155.23,0.08,11/2+,1,159.4,0.1,100.0,8.0,(E2),,,,,,,,,,,1.8,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
15,92,141,U,11,320.77,0.05,7/2-,2,92.15,0.04,9/2+,0,228.57,0.05,31.0,5.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
16,92,141,U,11,320.77,0.05,7/2-,1,40.351,0.007,7/2+,1,280.58,0.08,100.0,12.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
17,92,141,U,11,320.77,0.05,7/2-,0,0.0,,5/2+,2,320.73,0.1,37.7,2.3,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
18,92,141,U,12,330.42,0.14,(7/2+),2,92.15,0.04,9/2+,0,238.0,0.2,45.0,15.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
19,92,141,U,12,330.42,0.14,(7/2+),1,40.351,0.007,7/2+,1,290.4,0.2,100.0,30.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
20,92,141,U,12,330.42,0.14,(7/2+),0,0.0,,5/2+,2,330.0,0.5,30.0,15.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
21,92,141,U,13,340.478,0.006,5/2+,9,311.906,0.006,3/2+,0,28.562,0.011,1.12,0.06,M1+E2,0.16,0.02,,,290.0,,0.03,,,,320.0,40.0,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
22,92,141,U,13,340.478,0.006,5/2+,7,298.815,0.01,(5/2-),1,41.66,0.01,0.2,0.02,[E1],,,1.4e-05,,,,,,,,1.254,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
23,92,141,U,13,340.478,0.006,5/2+,2,92.15,0.04,9/2+,2,248.37,0.04,0.92,0.02,[E2],,,,,0.19,,,,,,0.346,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
24,92,141,U,13,340.478,0.006,5/2+,1,40.351,0.007,7/2+,3,300.128,0.01,100.0,1.0,M1+E2,-0.08,0.02,,,0.05,,0.0024,,,,0.87,0.03,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
25,92,141,U,13,340.478,0.006,5/2+,0,0.0,,5/2+,4,340.477,0.01,67.9,0.7,M1+E2,-0.23,0.05,,,0.14,,0.00105,,,,0.62,0.03,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
26,92,141,U,14,353.78,0.12,9/2-,3,155.23,0.08,11/2+,0,198.61,0.2,26.0,4.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
27,92,141,U,14,353.78,0.12,9/2-,2,92.15,0.04,9/2+,1,261.66,0.2,65.0,4.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
28,92,141,U,14,353.78,0.12,9/2-,1,40.351,0.007,7/2+,2,313.34,0.2,100.0,6.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
29,92,141,U,15,380.38,0.08,(7/2+),2,92.15,0.04,9/2+,0,288.33,0.1,100.0,10.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
30,92,141,U,15,380.38,0.08,(7/2+),0,0.0,,5/2+,1,380.28,0.1,19.0,5.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
31,92,141,U,16,397.55,0.21,11/2-,2,92.15,0.04,9/2+,0,305.4,0.2,100.0,,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
32,92,141,U,17,398.496,0.008,1/2+,13,340.478,0.006,5/2+,0,57.9,,0.046,4.6e-06,[E2],,,,,9.0,,,,,,178.0,4.0,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
33,92,141,U,17,398.496,0.008,1/2+,9,311.906,0.006,3/2+,1,86.591,0.01,100.0,3.4,M1(+E2),0.09,,,,13.0,,0.043,,,,7.09,0.13,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
34,92,141,U,17,398.496,0.008,1/2+,0,0.0,,5/2+,2,398.494,0.01,67.5,1.2,E2,,,,,0.9,,,,,,0.0835,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
35,92,141,U,18,411.17,0.11,(17/2+),10,314.59,0.1,(15/2+),0,96.49,0.15,35.0,10.0,,,,,,,,,,,,,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
36,92,141,U,18,411.17,0.11,(17/2+),6,229.46,0.09,(13/2+),1,181.7,0.1,100.0,12.0,(E2),,,,,,,,,,,1.08,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27
