,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,92,143,U,0,,0.0,,,7/2-,1.0,704000000.0,,1.0,Y,2.221607588611277e+16,31556925974592.0,A,100.0,,SF,7e-09,2e-09,{+25}Ne,8e-10,,,-0.38,0.03,4.936,0.006,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
1,92,143,U,1,,0.076,0.0004,,1/2+,1.0,26.0,AP,,m,1560.0,,IT,100.0,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
2,92,143,U,2,,13.0339,0.0021,,3/2+,1.0,0.5,,3.0,ns,5e-10,3e-11,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
3,92,143,U,3,,46.103,0.008,,9/2-,1.0,14.0,AP,,ps,1.4e-11,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
4,92,143,U,4,,51.6968,0.0011,,5/2+,1.0,191.0,,5.0,ps,1.91e-10,5e-12,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
5,92,143,U,5,,81.724,0.004,,7/2+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
6,92,143,U,6,,103.903,0.008,,11/2-,1.0,33.0,,5.0,ps,3.3e-11,5e-12,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
7,92,143,U,7,,129.2995,0.001,,5/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
8,92,143,U,8,,150.356,0.016,,9/2+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
9,92,143,U,9,,171.358,0.005,,7/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
10,92,143,U,10,,171.464,0.013,,13/2-,1.0,21.9,,13.0,ps,2.19e-11,1.3e-12,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
11,92,143,U,11,,197.087,0.015,,11/2+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
12,92,143,U,12,,225.382,0.007,,9/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
13,92,143,U,13,,250.014,0.021,,15/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
14,92,143,U,14,,259.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
15,92,143,U,15,,291.135,0.019,,11/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
16,92,143,U,16,,294.557,0.016,,13/2+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
17,92,143,U,17,,332.845,0.004,,5/2+,3.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
18,92,143,U,18,,339.976,0.024,,17/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
19,92,143,U,19,,357.22,0.04,,15/2+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
20,92,143,U,20,,367.031,0.008,,7/2+,3.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
21,92,143,U,21,,368.9,0.3,,13/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
22,92,143,U,22,,393.218,0.005,,3/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
23,92,143,U,23,,414.768,0.011,,9/2+,3.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
24,92,143,U,24,,426.741,0.003,,5/2+,4.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
25,92,143,U,25,,439.39,0.03,,19/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
26,92,143,U,26,,445.648,0.008,,7/2+,4.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
27,92,143,U,27,,456.84,0.07,,15/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
28,92,143,U,28,,473.826,0.011,,7/2+,5.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
29,92,143,U,29,,482.0,0.04,,17/2+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
30,92,143,U,30,,510.49,0.17,,(9/2+),1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
31,92,143,U,31,,532.4,0.5,,(13/2+),1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
32,92,143,U,32,,533.208,0.01,,9/2+,4.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
33,92,143,U,33,,551.17,0.04,,21/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
34,92,143,U,34,,557.2,0.3,,17/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
35,92,143,U,35,,559.34,0.05,,19/2+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
36,92,143,U,36,,587.8,0.5,,(11/2+),1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
37,92,143,U,37,,608.17,0.03,,11/2+,3.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
38,92,143,U,38,,633.092,0.015,,(5/2-),1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
39,92,143,U,39,,637.794,0.006,,3/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
40,92,143,U,40,,658.96,0.04,,1/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
41,92,143,U,41,,664.531,0.012,,(5/2)-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
42,92,143,U,42,,666.69,0.1,,19/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
43,92,143,U,43,,670.924,0.025,,(7/2)-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
44,92,143,U,44,,671.94,0.04,,23/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
45,92,143,U,45,,690.2,0.5,,(13/2+),2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
46,92,143,U,46,,701.101,0.017,,(7/2)-,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
47,92,143,U,47,,703.753,0.02,,3/2-,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
48,92,143,U,48,,710.02,0.05,,21/2+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
49,92,143,U,49,,720.22,0.03,,(9/2)-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
50,92,143,U,50,,750.21,0.16,,(9/2-),1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
51,92,143,U,51,,761.017,0.006,,(1/2)-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
52,92,143,U,52,,769.27,0.06,,1/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
53,92,143,U,53,,769.934,0.009,,3/2-,3.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
54,92,143,U,54,,778.36,0.19,,(11/2)-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
55,92,143,U,55,,779.51,0.03,,3/2+,3.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
56,92,143,U,56,,787.8,0.3,,21/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
57,92,143,U,57,,790.9,0.8,,15/2+,3.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
58,92,143,U,58,,800.58,0.06,,23/2+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
59,92,143,U,59,,805.65,0.06,,25/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
60,92,143,U,60,,805.651,0.01,,3/2-,4.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
61,92,143,U,61,,806.9,0.4,,11/2-,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
62,92,143,U,62,,811.96,0.03,,(5/2-),2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
63,92,143,U,63,,821.23,0.04,,5/2+,5.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
64,92,143,U,64,,821.83,0.07,,(9/2-),2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
65,92,143,U,65,,843.859,0.01,,(1/2)+,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
66,92,143,U,66,,845.35,0.02,,(7/2+),1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
67,92,143,U,67,,850.56,0.03,,13/2-,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
68,92,143,U,68,,865.189,0.008,,3/2+,4.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
69,92,143,U,69,,879.8,0.3,,13/2-,3.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
70,92,143,U,70,,885.5,0.6,,(11/2-),1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
71,92,143,U,71,,891.91,0.03,,5/2+,6.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
72,92,143,U,72,,905.262,0.018,,5/2+,7.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
73,92,143,U,73,,916.87,0.13,,23/2+,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
74,92,143,U,74,,921.1,0.4,,13/2-,4.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
75,92,143,U,75,,924.5,0.5,,15/2-,2.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
76,92,143,U,76,,943.0,2.0,,(7/2-),1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
77,92,143,U,77,,945.58,0.05,,27/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
78,92,143,U,78,,951.05,0.03,,1/2- 3/2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
79,92,143,U,79,,953.4,0.3,,15/2-,3.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
80,92,143,U,80,,960.4,0.6,,(13/2-),1.0,,,,,,,,,,,,,,,,,,,,,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-04-27
