,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,15.784,,7.3226196218728,0.9589568838248274,X,L,92,146,U,,0.0,,0+,4468000000.0,,6,Y,1.4099634525447706e+17,189341555847552.0,A,100.0,,4269.9,21.0,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
1,16.678,,0.068222152,0.0118277578244092,X,L,92,146,U,,2557.9,0.5,0+,280.0,,6,ns,2.8e-07,6e-09,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
2,89.954,,0.0006915678930565,0.0001022670478477,X,KA2,92,146,U,,0.0,,0+,4468000000.0,,6,Y,1.4099634525447706e+17,189341555847552.0,A,100.0,,4269.9,21.0,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
3,93.347,,0.0011186798658306,0.0001653652539396,X,KA1,92,146,U,,0.0,,0+,4468000000.0,,6,Y,1.4099634525447706e+17,189341555847552.0,A,100.0,,4269.9,21.0,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
4,94.657,,0.0404045344410152,0.0081525117316278,X,KA2,92,146,U,,2557.9,0.5,0+,280.0,,6,ns,2.8e-07,6e-09,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
5,98.439,,0.0646783006899555,0.0130477157814795,X,KA1,92,146,U,,2557.9,0.5,0+,280.0,,6,ns,2.8e-07,6e-09,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
6,105.566,,0.000398064952216,5.91069310548e-05,X,KpB1,92,146,U,,0.0,,0+,4468000000.0,,6,Y,1.4099634525447706e+17,189341555847552.0,A,100.0,,4269.9,21.0,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
7,106.894,,0.0005322128411128,7.90008989774e-05,X,KB,92,146,U,,0.0,,0+,4468000000.0,,6,Y,1.4099634525447706e+17,189341555847552.0,A,100.0,,4269.9,21.0,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
8,108.58,,0.0001341478888968,2.00182261572e-05,X,KpB2,92,146,U,,0.0,,0+,4468000000.0,,6,Y,1.4099634525447706e+17,189341555847552.0,A,100.0,,4269.9,21.0,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
9,111.238,,0.0233343404389189,0.0047242121059934,X,KpB1,92,146,U,,2557.9,0.5,0+,280.0,,6,ns,2.8e-07,6e-09,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
10,112.645,,0.0313146848690292,0.0063388190130178,X,KB,92,146,U,,2557.9,0.5,0+,280.0,,6,ns,2.8e-07,6e-09,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
11,114.446,,0.0079803444301102,0.0016198876177793,X,KpB2,92,146,U,,2557.9,0.5,0+,280.0,,6,ns,2.8e-07,6e-09,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
